Player Name,Year,Salary
Erick Dampier,2001,5610000.0
Wesley Person,2001,5600000.0
Isaac Austin,2001,5500000.0
Loy Vaught,2001,4812025.0
Derrick McKey,2001,5400000.0
Robert Horry,2001,4800000.0
Jim McIlvaine,2001,5400000.0
Jerry Stackhouse,2001,5310000.0
Charlie Ward,2001,5040000.0
Dale Davis,2001,6000000.0
Lorenzen Wright,2001,4950000.0
Mookie Blaylock,2001,4800000.0
Chris Mills,2001,4800000.0
Chris Childs,2001,4680000.0
Darrell Armstrong,2001,3100000.0
Bryon Russell,2001,4570000.0
Brent Barry,2001,4320000.0
Jason Caffey,2001,4380000.0
Vitaly Potapenko,2001,4290000.0
Bob Sura,2001,4390000.0
Walt Williams,2001,4250000.0
Scott Williams,2001,4200000.0
Sam Cassell,2001,4000000.0
Michael Olowokandi,2001,3697440.0
Elton Brand,2001,3629160.0
Eric Williams,2001,3890000.0
Travis Best,2001,3500000.0
Michael Stewart,2001,3520000.0
Derek Strong,2001,3510000.0
Mike Bibby,2001,3308160.0
Rick Fox,2001,3400000.0
Steve Francis,2001,3246960.0
Derek Fisher,2001,3380000.0
Eric Snow,2001,3380000.0
Ervin Johnson,2001,2700000.0
Brent Price,2001,2880000.0
Travis Knight,2001,3200000.0
Raef LaFrentz,2001,2970840.0
Tracy Murray,2001,3060000.0
Tyrone Nesby,2001,2990000.0
Baron Davis,2001,2916000.0
Vonteego Cummings,2001,757200.0
David Wesley,2001,2880000.0
Dean Garrett,2001,2880000.0
Antawn Jamison,2001,2678400.0
Walter McCarty,2001,2670000.0
Anthony Peeler,2001,2740000.0
Lamar Odom,2001,2628960.0
Lawrence Funderburke,2001,2700000.0
Lindsey Hunter,2001,2650000.0
Malik Rose,2001,2570000.0
Vince Carter,2001,2425440.0
Jonathan Bender,2001,2380680.0
Dell Curry,2001,2000000.0
Robert Traylor,2001,2203080.0
Othella Harrington,2001,2250000.0
Wally Szczerbiak,2001,2162280.0
Terry Porter,2001,2200000.0
Rodney Rogers,2001,2200000.0
Jamie Feick,2001,2200000.0
Eric Montross,2001,2240000.0
Chris Crawford,2001,2200000.0
Steve Kerr,2001,2200000.0
Vinny Del Negro,2001,2100000.0
Sean Rooks,2001,2160000.0
Lucious Harris,2001,2160000.0
Jason Williams,2001,2011080.0
Richard Hamilton,2001,1973880.0
Larry Hughes,2001,1842480.0
Andre Miller,2001,1808400.0
Dirk Nowitzki,2001,1693560.0
Shawn Marion,2001,1662240.0
Paul Pierce,2001,1608840.0
Jason Terry,2001,1579080.0
Bonzi Wells,2001,1528440.0
Trajan Langdon,2001,1500120.0
Aleksandar Radojevic,2001,1425120.0
Keon Clark,2001,1379400.0
Corey Maggette,2001,1353960.0
Michael Dickerson,2001,1310400.0
Matt Harpring,2001,1244880.0
Eldridge Recasner,2001,1200000.0
Metta World Peace,2001,1160760.0
Cal Bowdler,2001,1102800.0
James Posey,2001,1047600.0
Pat Garrity,2001,1019280.0
Quincy Lewis,2001,1000440.0
Roshown McLeod,2001,978600.0
Dion Glover,2001,960480.0
Ricky Davis,2001,939360.0
Greg Foster,2001,1760000.0
Jeff Foster,2001,922080.0
Brian Skinner,2001,901800.0
Kenny Thomas,2001,885120.0
Devean George,2001,849720.0
Al Harrington,2001,797880.0
Tim James,2001,783120.0
Jumaine Jones,2001,735600.0
Scott Padgett,2001,730800.0
Rafer Alston,2001,423500.0
Hakeem Olajuwon,2001,16700000.0
David Robinson,2001,14700000.0
Dikembe Mutombo,2001,14400000.0
Patrick Ewing,2001,14000000.0
Jayson Williams,2001,13800000.0
Tim Hardaway,2001,12000000.0
Chris Webber,2001,12000000.0
Arvydas Sabonis,2001,11250000.0
John Stockton,2001,11000000.0
Reggie Miller,2001,10670000.0
Zydrunas Ilgauskas,2001,10130000.0
Kobe Bryant,2001,10130000.0
Shareef Abdur-Rahim,2001,10130000.0
Vin Baker,2001,10130000.0
Allen Iverson,2001,10130000.0
Anfernee Hardaway,2001,10130000.0
Latrell Sprewell,2001,10125000.0
Mitch Richmond,2001,10000000.0
Rod Strickland,2001,10000000.0
Jalen Rose,2001,9660000.0
Grant Hill,2001,9660000.0
Tracy McGrady,2001,9660000.0
Tim Duncan,2001,9660000.0
Keith Van Horn,2001,9000000.0
Allan Houston,2001,9000000.0
Eddie Jones,2001,8960000.0
Brian Grant,2001,8900000.0
Tim Thomas,2001,8510000.0
Michael Finley,2001,8400000.0
Shawn Bradley,2001,8370000.0
Danny Manning,2001,8030000.0
Avery Johnson,2001,8000000.0
Glen Rice,2001,7578900.0
Kendall Gill,2001,7000000.0
Christian Laettner,2001,6625000.0
Horace Grant,2001,6500000.0
Toni Kukoc,2001,6000000.0
Bryant Stith,2001,5920000.0
Charles Oakley,2001,5760000.0
PJ Brown,2001,5740000.0
Chris Gatling,2001,5550000.0
Anthony Mason,2001,5550000.0
Ron Mercer,2001,5520000.0
Antonio Davis,2001,5500000.0
Kelvin Cato,2001,5330000.0
Austin Croshere,2001,5300000.0
Sean Elliott,2001,5300000.0
Hersey Hawkins,2001,4760000.0
Chris Mullin,2001,4650000.0
Bobby Phills,2001,4640000.0
Tariq Abdul-Wahad,2001,4500000.0
Bo Outlaw,2001,4500000.0
Robert Pack,2001,4320000.0
Brevin Knight,2001,4250000.0
Howard Eisley,2001,4250000.0
Dan Majerle,2001,4050000.0
Brad Miller,2001,4000000.0
Ben Wallace,2001,4000000.0
Duane Causwell,2001,4000000.0
Danny Fortson,2001,3950000.0
Corliss Williamson,2001,3940000.0
Cedric Ceballos,2001,3937500.0
Jahidi White,2001,3922000.0
Cuttino Mobley,2001,3920000.0
Rashard Lewis,2001,3920000.0
Scot Pollard,2001,3920000.0
Voshon Lenard,2001,3780000.0
Nick Anderson,2001,3750000.0
Dana Barros,2001,3700000.0
Doug West,2001,3680000.0
Kurt Thomas,2001,3680000.0
Adonal Foyle,2001,3580000.0
Mark Jackson,2001,3570000.0
Kenyon Martin,2001,3536640.0
Rex Chapman,2001,3500000.0
Greg Anthony,2001,3500000.0
Adam Keefe,2001,3390000.0
Lamond Murray,2001,3380000.0
Jud Buechler,2001,3260000.0
Greg Minor,2001,3240000.0
Tony Battie,2001,3200000.0
Don MacLean,2001,3178500.0
Stromile Swift,2001,3164280.0
Doug Christie,2001,3140000.0
Mark Bryant,2001,3029268.0
Chucky Atkins,2001,3000000.0
Samaki Walker,2001,2960000.0
Jerome Williams,2001,2870000.0
Kevin Willis,2001,2870000.0
Mikki Moore,2001,2850000.0
Darius Miles,2001,2841720.0
Antonio Daniels,2001,2820000.0
Popeye Jones,2001,2812500.0
Jon Barry,2001,2730000.0
Cedric Henderson,2001,2700000.0
Vernon Maxwell,2001,2570000.0
Marcus Fizer,2001,2562000.0
Erick Strickland,2001,2560000.0
Dragan Tarlac,2001,2500000.0
Matt Maloney,2001,2401000.0
Gary Trent,2001,2400000.0
Terry Mills,2001,2400000.0
Mark Strickland,2001,2400000.0
Sam Mitchell,2001,2370000.0
Chris Whitney,2001,2370000.0
Jim Jackson,2001,2330000.0
Mike Miller,2001,2320080.0
Dale Ellis,2001,2290000.0
Randy Brown,2001,2250000.0
Aaron Williams,2001,2250000.0
Bimbo Coles,2001,2250000.0
Joe Smith,2001,2250000.0
Maurice Taylor,2001,2250000.0
Sam Perkins,2001,2250000.0
Brian Shaw,2001,2250000.0
A.C. Green,2001,2250000.0
Chauncey Billups,2001,2250000.0
Tony Delk,2001,2250000.0
Will Perdue,2001,2250000.0
Bobby Jackson,2001,2250000.0
Derek Anderson,2001,2250000.0
John Starks,2001,2250000.0
Otis Thorpe,2001,2200000.0
J.R. Reid,2001,2200000.0
Calbert Cheaney,2001,2200000.0
George McCloud,2001,2200000.0
John Wallace,2001,2200000.0
Michael Curry,2001,2200000.0
Terry Cummings,2001,2200000.0
Carlos Rogers,2001,2200000.0
Shandon Anderson,2001,2200000.0
Eric Piatkowski,2001,2200000.0
Ron Harper,2001,2200000.0
Grant Long,2001,2200000.0
George Lynch,2001,2200000.0
Detlef Schrempf,2001,2200000.0
Olden Polynice,2001,2200000.0
Michael Smith,2001,2200000.0
Cory Alexander,2001,2160000.0
DerMarr Johnson,2001,2107200.0
John Williams,2001,2100000.0
Clarence Weatherspoon,2001,2100000.0
Hubert Davis,2001,2100000.0
Billy Owens,2001,2100000.0
Eric Murdock,2001,2100000.0
Matt Bullard,2001,2100000.0
Cherokee Parks,2001,2100000.0
Alvin Williams,2001,2100000.0
Johnny Newman,2001,2000000.0
Chris Mihm,2001,1923600.0
Keith Closs,2001,1920000.0
Andrew DeClercq,2001,1920000.0
James Robinson,2001,1870000.0
Aaron McKie,2001,1818000.0
Jamal Crawford,2001,1762320.0
Jaren Jackson,2001,1750000.0
Lorenzo Williams,2001,1750000.0
Muggsy Bogues,2001,1740000.0
Darvin Ham,2001,1700000.0
Joel Przybilla,2001,1619880.0
Keyon Dooling,2001,1538880.0
Jacque Vaughn,2001,1500000.0
Predrag Stojakovic,2001,1480000.0
Jerome Moiso,2001,1461960.0
Michael Doleac,2001,1452000.0
Etan Thomas,2001,1388880.0
Tony Massenburg,2001,1360000.0
Corie Blount,2001,1320000.0
Courtney Alexander,2001,1319400.0
Gary Grant,2001,1316969.0
William Avery,2001,1286160.0
Mateen Cleaves,2001,1253400.0
Anthony Johnson,2001,1200000.0
Chris Carr,2001,1200000.0
Joe Kleine,2001,1200000.0
Zan Tabak,2001,1200000.0
Chuck Person,2001,1200000.0
Anthony Carter,2001,1200000.0
LaPhonso Ellis,2001,1200000.0
Danny Ferry,2001,1200000.0
Dennis Scott,2001,1200000.0
Jason Collier,2001,1190760.0
Bryce Drew,2001,1182600.0
Elliot Perry,2001,1144000.0
Hidayet Turkoglu,2001,1131240.0
Tom Hammonds,2001,1130000.0
Radoslav Nesterovic,2001,1123560.0
Jelani McCoy,2001,1110000.0
Sherman Douglas,2001,1100000.0
Greg Buckner,2001,1100000.0
Desmond Mason,2001,1074720.0
Mirsad Turkcan,2001,1069400.0
Bill Curley,2001,1034500.0
Quentin Richardson,2001,1020960.0
Kevin Edwards,2001,1000000.0
Jerome Kersey,2001,1000000.0
Felton Spencer,2001,1000000.0
David Wingate,2001,1000000.0
Pervis Ellison,2001,1000000.0
Dee Brown,2001,1000000.0
Monty Williams,2001,1000000.0
Mario Elie,2001,1000000.0
Tyrone Corbin,2001,1000000.0
Bruno Sundov,2001,997000.0
Ruben Patterson,2001,990000.0
Jamaal Magloire,2001,975000.0
Speedy Claxton,2001,936000.0
Terry Davis,2001,923500.0
Stacey Augmon,2001,923500.0
Morris Peterson,2001,898560.0
Fred Hoiberg,2001,880000.0
Tyronn Lue,2001,865800.0
Donnell Harvey,2001,862560.0
Felipe Lopez,2001,831120.0
