,Player Code,Draft Number Picked,Draft Year,Player Name,College Name,Seasons in NBA
105,wilcoch01,8,2002,Chris Wilcox,Maryland,11.0
106,stoudam01,9,2002,Amar'e Stoudemire,,14.0
107,butleca01,10,2002,Caron Butler,UConn,14.0
108,jeffrja01,11,2002,Jared Jeffries,Indiana,11.0
109,elyme01,12,2002,Melvin Ely,Fresno State,9.0
110,haislma01,13,2002,Marcus Haislip,Tennessee,4.0
111,jonesfr01,14,2002,Fred Jones,Oregon,7.0
112,jamesle01,1,2003,LeBron James,,17.0
113,milicda01,2,2003,Darko Miličić,,10.0
114,anthoca01,3,2003,Carmelo Anthony,Syracuse,17.0
115,boshch01,4,2003,Chris Bosh,Georgia Tech,13.0
116,wadedw01,5,2003,Dwyane Wade,Marquette,16.0
117,kamanch01,6,2003,Chris Kaman,Central Michigan University,13.0
118,hinriki01,7,2003,Kirk Hinrich,Kansas,13.0
119,fordtj01,8,2003,T.J. Ford,Texas,8.0
120,sweetmi01,9,2003,Mike Sweetney,Georgetown,4.0
121,hayesja01,10,2003,Jarvis Hayes,Georgia,7.0
122,pietrmi01,11,2003,Mickaël Piétrus,,10.0
123,collini01,12,2003,Nick Collison,Kansas,14.0
124,banksma01,13,2003,Marcus Banks,UNLV,8.0
125,ridnolu01,14,2003,Luke Ridnour,Oregon,12.0
126,howardw01,1,2004,Dwight Howard,,16.0
127,okafoem01,2,2004,Emeka Okafor,UConn,10.0
128,gordobe01,3,2004,Ben Gordon,UConn,11.0
129,livinsh01,4,2004,Shaun Livingston,,14.0
130,harride01,5,2004,Devin Harris,Wisconsin,15.0
131,childjo01,6,2004,Josh Childress,Stanford,8.0
132,denglu01,7,2004,Luol Deng,Duke,15.0
133,araujra01,8,2004,Rafael Araújo,BYU,3.0
134,iguodan01,9,2004,Andre Iguodala,Arizona,16.0
135,jackslu02,10,2004,Luke Jackson,Oregon,4.0
136,biedran01,11,2004,Andris Biedriņš,,10.0
137,swiftro01,12,2004,Robert Swift,,4.0
138,telfase01,13,2004,Sebastian Telfair,,10.0
139,humphkr01,14,2004,Kris Humphries,Minnesota,13.0
140,bogutan01,1,2005,Andrew Bogut,Utah,14.0
141,willima02,2,2005,Marvin Williams,UNC,15.0
142,willide01,3,2005,Deron Williams,Illinois,12.0
143,paulch01,4,2005,Chris Paul,Wake Forest,15.0
144,feltora01,5,2005,Raymond Felton,UNC,14.0
145,webstma02,6,2005,Martell Webster,,10.0
146,villach01,7,2005,Charlie Villanueva,UConn,11.0
147,fryech01,8,2005,Channing Frye,Arizona,13.0
148,dioguik01,9,2005,Ike Diogu,Arizona State,6.0
149,bynuman01,10,2005,Andrew Bynum,,8.0
150,vazqufr01,11,2005,Fran Vázquez,,
151,korolya01,12,2005,Yaroslav Korolev,,2.0
152,mayse01,13,2005,Sean May,UNC,4.0
153,mccanra01,14,2005,Rashad McCants,UNC,4.0
154,bargnan01,1,2006,Andrea Bargnani,,10.0
155,aldrila01,2,2006,LaMarcus Aldridge,Texas,14.0
156,morriad01,3,2006,Adam Morrison,Gonzaga,3.0
157,thomaty01,4,2006,Tyrus Thomas,LSU,8.0
158,willish02,5,2006,Shelden Williams,Duke,6.0
159,roybr01,6,2006,Brandon Roy,Washington,6.0
160,foyera01,7,2006,Randy Foye,Villanova,11.0
161,gayru01,8,2006,Rudy Gay,UConn,14.0
162,obryapa01,9,2006,Patrick O'Bryant,Bradley,4.0
163,senesa01,10,2006,Mouhamed Sene,,3.0
164,redicjj01,11,2006,J.J. Redick,Duke,14.0
165,armsthi01,12,2006,Hilton Armstrong,UConn,6.0
166,sefolth01,13,2006,Thabo Sefolosha,,14.0
167,brewero02,14,2006,Ronnie Brewer,Arkansas,8.0
168,odengr01,1,2007,Greg Oden,Ohio State,3.0
169,duranke01,2,2007,Kevin Durant,Texas,12.0
170,horfoal01,3,2007,Al Horford,Florida,13.0
171,conlemi01,4,2007,Mike Conley,Ohio State,13.0
172,greenje02,5,2007,Jeff Green,Georgetown,12.0
173,jianlyi01,6,2007,Yi Jianlian,,5.0
174,breweco01,7,2007,Corey Brewer,Florida,13.0
175,wrighbr03,8,2007,Brandan Wright,UNC,10.0
176,noahjo01,9,2007,Joakim Noah,Florida,13.0
177,hawessp01,10,2007,Spencer Hawes,Washington,10.0
178,lawac01,11,2007,Acie Law,Texas A&M,4.0
179,youngth01,12,2007,Thaddeus Young,Georgia Tech,13.0
180,wrighju01,13,2007,Julian Wright,Kansas,4.0
181,thornal01,14,2007,Al Thornton,Florida State,4.0
182,rosede01,1,2008,Derrick Rose,Memphis,11.0
183,beaslmi01,2,2008,Michael Beasley,Kansas State,11.0
184,mayooj01,3,2008,O.J. Mayo,USC,8.0
185,westbru01,4,2008,Russell Westbrook,UCLA,12.0
186,loveke01,5,2008,Kevin Love,UCLA,12.0
187,gallida01,6,2008,Danilo Gallinari,,11.0
188,gordoer01,7,2008,Eric Gordon,Indiana,12.0
189,alexajo01,8,2008,Joe Alexander,West Virginia,2.0
190,augusdj01,9,2008,D.J. Augustin,Texas,12.0
191,lopezbr01,10,2008,Brook Lopez,Stanford,12.0
