,Player Name,Seasons in NBA,First Season Played,Last Season Played
775,Carl Fuller,2,1971,1972
776,Alonzo Gee,8,2010,2017
777,Marcus Georges-Hunt,2,2017,2018
778,Artis Gilmore,17,1972,1988
779,Anthony Goldwire,8,1996,2006
780,Kenny Green,2,1986,1987
781,Taurean Green,1,2008,2008
782,Orien Greene,4,2006,2011
783,Glenn Hagan,1,1982,1982
784,Shaler Halimon,5,1969,1973
785,Tom Hammonds,12,1990,2001
786,Udonis Haslem,19,2004,2022
787,Killian Hayes,2,2021,2022
788,Alvin Heggs,1,1996,1996
789,Dewan Hernandez,1,2020,2020
790,Jerome James,9,1999,2009
791,Justin James,2,2020,2021
792,Tim James,3,2000,2002
793,Chris Johnson,4,2013,2016
794,Clemon Johnson,10,1979,1988
795,Eddie Johnson,10,1978,1987
796,Frank Johnson,10,1982,1994
797,Dominique Jones,3,2011,2013
798,Eddie Jones,14,1995,2008
799,James Jones,14,2004,2017
800,Jumaine Jones,8,2000,2007
801,Solomon Jones,8,2007,2014
802,Greg Kelser,6,1980,1985
803,Tarence Kinsey,3,2007,2009
804,Curtis Kitchen,1,1987,1987
805,Brandon Knight,9,2012,2022
806,Clifford Lett,2,1990,1991
807,Nassir Little,3,2020,2022
808,Tre Mann,1,2022,2022
809,Anthony Mason,13,1990,2003
810,Wes Matthews,9,1981,1990
811,Vernon Maxwell,13,1989,2001
812,Travis Mays,3,1991,1993
813,George McCloud,12,1990,2002
814,Erik McCree,1,2018,2018
815,Roderick McDonald,3,1971,1973
816,Tracy McGrady,15,1998,2012
817,Stan McKenzie,7,1968,1974
818,Otto Moore,9,1969,1977
819,Chandler Parsons,9,2012,2020
820,Rich Peek,1,1968,1968
821,Will Perdue,13,1989,2001
822,Howard Porter,7,1972,1978
823,Ed Rains,2,1982,1983
824,Paul Reed,2,2021,2022
825,Ryan Reid,1,2012,2012
826,Richard Rellford,1,1988,1988
827,Glen Rice Jr.,2,2014,2015
828,Chris Richard,2,2008,2010
829,Mitch Richmond,14,1989,2002
830,Grant Riller,1,2021,2021
831,Red Robbins,8,1968,1975
832,Rick Robey,8,1979,1986
833,David Robinson,14,1990,2003
834,Mitchell Robinson,4,2019,2022
835,Truck Robinson,11,1975,1985
836,Tree Rollins,18,1978,1995
837,Clifford Rozier,4,1995,1998
838,Larry Sanders,6,2011,2017
839,Dwayne Schintzius,8,1991,1999
840,Tom Sewell,1,1985,1985
841,Anfernee Simons,4,2019,2022
842,Otis Smith,6,1987,1992
843,Theron Smith,2,2004,2005
844,Marreese Speights,10,2009,2018
845,Amar'e Stoudemire,14,2003,2016
846,Joe Strawder,3,1966,1968
847,Roger Strickland,1,1964,1964
848,Jermaine Taylor,2,2010,2011
849,Jim Thomas,4,1984,1991
850,Otis Thorpe,17,1985,2001
851,David Vanterpool,1,2001,2001
852,Darius Washington,1,2008,2008
853,Walt Wesley,10,1967,1976
854,Okaro White,3,2017,2019
855,Bob Williams,2,1956,1957
856,Lorenzo Williams,7,1993,2000
857,Matt Williams,1,2018,2018
858,Shareef Abdur-Rahim,12,1997,2008
859,Don Adams,7,1971,1977
860,Jordan Adams,2,2015,2016
861,Morris Almond,3,2008,2012
862,Al-Farouq Aminu,11,2011,2021
863,Shandon Anderson,10,1997,2006
864,Tate Armstrong,2,1978,1979
865,William Avery,3,2000,2002
866,James Bailey,9,1980,1988
867,Al Beard,1,1968,1968
868,Malik Beasley,6,2017,2022
869,Jaron Blossomgame,1,2019,2019
870,Ray Blume,1,1982,1982
871,Brandon Boston Jr.,1,2022,2022
872,Jamison Brewer,4,2002,2005
873,Malcolm Brogdon,6,2017,2022
874,Jaylen Brown,6,2017,2022
875,Lorenzo Brown,5,2014,2019
876,Raymond Brown,1,1990,1990
877,Elijah Bryant,1,2021,2021
878,Kentavious Caldwell-Pope,9,2014,2022
879,Wendell Carter Jr.,4,2019,2022
880,Kelvin Cato,10,1998,2007
881,Ahmad Caver,1,2022,2022
882,Ben Clyde,1,1975,1975
883,Art Collins,1,1981,1981
884,Wayne Cooper,14,1979,1992
885,Lanard Copeland,2,1990,1992
886,Javaris Crittenton,2,2008,2009
887,Corey Crowder,2,1992,1995
888,Jae Crowder,10,2013,2022
889,Vonteego Cummings,3,2000,2002
890,William Cunningham,2,1998,1999
891,Jermareo Davidson,2,2008,2009
892,Dale Davis,16,1992,2007
893,Hook Dillon,1,1950,1950
894,Jacky Dorsey,3,1978,1981
895,Toney Douglas,8,2010,2017
896,Anthony Edwards,2,2021,2022
897,Dale Ellis,17,1984,2000
898,Harold Ellis,3,1994,1998
899,Pervis Ellison,11,1990,2001
900,Claude English,1,1971,1971
901,Derrick Favors,12,2011,2022
902,Gerald Fitch,1,2006,2006
903,Aleem Ford,1,2022,2022
904,Joseph Forte,2,2002,2003
905,Jim Fox,10,1968,1977
906,Walt Frazier,13,1968,1980
907,World B. Free,13,1976,1988
908,Mike Glenn,10,1978,1987
909,Dion Glover,6,2000,2005
910,Brandon Goodwin,4,2019,2022
911,Andrew Goudelock,3,2012,2016
912,Harvey Grant,11,1989,1999
913,Horace Grant,17,1988,2004
914,Hassani Gravett,1,2022,2022
915,Ken Green,1,1986,1986
916,Ashton Hagans,1,2021,2021
917,Phil Hankinson,2,1974,1975
918,Charlie Hardnett,3,1963,1965
919,Derek Harper,16,1984,1999
920,Jared Harper,3,2020,2022
921,Donnell Harvey,5,2001,2005
922,Jarvis Hayes,7,2004,2010
923,Gar Heard,11,1971,1981
924,Cedric Henderson,1,1987,1987
925,J.J. Hickson,8,2009,2016
926,Jordan Hill,8,2010,2017
927,Wilbur Holland,4,1976,1979
928,Dwight Howard,18,2005,2022
929,Mervin Jackson,5,1969,1973
930,Bernard James,3,2013,2015
931,Dontell Jefferson,1,2009,2009
932,Alexander Johnson,2,2007,2008
933,Ed Johnson,3,1969,1971
934,Reggie Johnson,4,1981,1984
935,DeQuan Jones,1,2013,2013
936,Jonathan Kerner,1,1999,1999
937,Julius Keye,6,1970,1975
938,Frankie King,2,1996,1997
939,Gani Lawal,1,2011,2011
940,Travis Leslie,1,2012,2012
941,Darrell Lockhart,1,1984,1984
942,Jordan Loyd,1,2019,2019
943,Randolph Mahaffey,4,1968,1971
944,Johnny Mathis,1,1968,1968
945,Jordan McRae,4,2016,2020
946,Greg Minor,5,1995,1999
947,Davion Mitchell,1,2022,2022
948,Mike Mitchell,10,1979,1988
949,Sam Mitchell,13,1990,2002
950,Tony Mitchell,1,2014,2014
951,Chris Morris,11,1989,1999
952,Kevin Murphy,1,2013,2013
953,Lloyd Neal,7,1973,1979
954,Norm Nixon,10,1978,1989
955,Jim Nolan,1,1950,1950
956,Chuma Okeke,2,2021,2022
957,Isaac Okoro,2,2021,2022
958,Myles Patrick,1,1981,1981
959,Charlie Paulk,3,1969,1972
960,George Peeples,6,1968,1973
961,Lavor Postell,3,2001,2003
962,Alex Poythress,3,2017,2019
963,Tim Quarterman,2,2017,2018
964,Luther Rackley,5,1970,1974
965,Robert Reid,13,1978,1991
966,Chris Robinson,2,1997,1998
967,Jeff Sanders,4,1990,1993
968,Tre Scott,1,2022,2022
969,Collin Sexton,4,2019,2022
970,Jeff Sheppard,1,1999,1999
971,Garret Siler,1,2011,2011
972,Kobi Simmons,2,2018,2019
973,Chris Singleton,3,2012,2014
974,Derek Smith,9,1983,1991
975,Elmore Smith,8,1972,1979
976,Jabari Smith,4,2001,2005
977,Josh Smith,13,2005,2018
