,Player Name,Seasons in NBA,First Season Played,Last Season Played
1321,Branden Dawson,1,2016,2016
1322,Larry Demic,3,1980,1982
1323,Clyde Dickey,1,1975,1975
1324,Dick Dickey,1,1952,1952
1325,Terry Dischinger,9,1963,1973
1326,Bob Donham,4,1951,1954
1327,Steve Downing,2,1974,1975
1328,Bobby Edmonds,2,1968,1970
1329,Jay Edwards,1,1990,1990
1330,Darrell Elston,2,1975,1977
1331,Bob Evans,1,1950,1950
1332,Yogi Ferrell,5,2017,2021
1333,Bob Ford,1,1973,1973
1334,Tellis Frank,5,1988,1994
1335,Darius Garland,3,2020,2022
1336,Winston Garland,7,1988,1995
1337,Dan Godfread,2,1991,1992
1338,Eric Gordon,14,2009,2022
1339,Greg Graham,5,1994,1998
1340,Jim Grandholm,1,1991,1991
1341,Kyle Guy,3,2020,2022
1342,Scott Haffner,2,1990,1991
1343,Dale Hamilton,1,1950,1950
1344,Ralph Hamilton,1,1949,1949
1345,A.J. Hammons,1,2017,2017
1346,Jerome Harmon,1,1995,1995
1347,Gary Harris,8,2015,2022
1348,Gordon Hayward,12,2011,2022
1349,Reggie Hearn,1,2018,2018
1350,Alan Henderson,12,1996,2007
1351,George Hill,14,2009,2022
1352,Ron Horn,3,1962,1968
1353,Robbie Hummel,2,2014,2015
1354,Chris Hunter,1,2010,2010
1355,Ervin Inniger,2,1968,1969
1356,Demetrius Jackson,3,2017,2019
1357,John Janisch,2,1947,1948
1358,Jared Jeffries,11,2003,2013
1359,JaJuan Johnson,1,2012,2012
1360,Ralph Johnson,4,1950,1953
1361,Charles Jordan,1,1976,1976
1362,Bill Keller,7,1970,1976
1363,Shawn Kemp,14,1990,2003
1364,Frank Kendrick,1,1975,1975
1365,Jimmy King,2,1996,1997
1366,Leo Klier,2,1949,1950
1367,Milo Komenich,1,1950,1950
1368,Reggie Lacefield,1,1969,1969
1369,Romeo Langford,3,2020,2022
1370,John Laskowski,2,1976,1977
1371,Allen Leavell,10,1980,1989
1372,Courtney Lee,12,2009,2020
1373,Slick Leonard,7,1957,1963
1374,Goose Ligon,7,1968,1974
1375,Bob Lochmueller,1,1953,1953
1376,John Logan,5,1947,1951
1377,Willie Long,3,1972,1974
1378,Clyde Lovellette,11,1954,1964
1379,Kyle Macy,7,1981,1987
1380,Dave Magley,1,1983,1983
1381,Nick Mantis,2,1960,1963
1382,Willie McCarter,3,1970,1972
1383,Walter McCarty,10,1997,2006
1384,Sean McDermott,1,2021,2021
1385,Mitch McGary,2,2015,2016
1386,Jon McGlocklin,11,1966,1976
1387,Carl McNulty,1,1955,1955
1388,Roy McPipe,1,1975,1975
1389,Josh McRoberts,11,2008,2018
1390,Brad Miller,14,1999,2012
1391,Eric Montross,8,1995,2002
1392,E'Twaun Moore,10,2012,2021
1393,Larry Moore,1,1968,1968
1394,Rick Mount,5,1971,1975
1395,Lee Nailon,6,2001,2006
1396,Craig Neal,2,1989,1991
1397,Bill Newton,2,1973,1974
1398,Gene Ollrich,1,1950,1950
1399,Bud Olsen,8,1963,1970
1400,Andre Owens,2,2006,2008
1401,Wayne Pack,1,1975,1975
1402,Jack Parkinson,1,1950,1950
1403,Jim Paxson,2,1957,1958
1404,Mel Payton,2,1952,1953
1405,Marshall Plumlee,2,2017,2018
1406,Mason Plumlee,9,2014,2022
1407,Miles Plumlee,7,2013,2019
1408,Kevin Pritchard,4,1991,1996
1409,Wayne Radford,1,1979,1979
1410,Ray Ragelis,1,1952,1952
1411,Kurt Rambis,14,1982,1995
1412,Zach Randolph,17,2002,2018
1413,Sam Ranzino,1,1952,1952
1414,Jimmy Rayl,2,1968,1969
1415,Connie Rea,1,1954,1954
1416,Ron Reed,2,1966,1967
1417,Jim Riffey,1,1951,1951
1418,Bill Roberts,2,1949,1950
1419,Glenn Robinson,11,1995,2005
1420,Glenn Robinson III,7,2015,2021
1421,Bob Royer,1,1950,1950
1422,Herm Schaefer,2,1949,1950
1423,Dave Schellhase,2,1967,1968
1424,Milt Schoon,2,1947,1950
1425,Carl Shaeffer,2,1950,1951
1426,Billy Shepherd,3,1973,1975
1427,Charley Shipp,1,1950,1950
1428,Dexter Shouse,1,1990,1990
1429,Jerry Sichting,10,1981,1990
1430,Scott Skiles,10,1987,1996
1431,Chips Sobek,1,1950,1950
1432,Daniel Sparks,2,1969,1970
1433,Jim Springer,1,1949,1949
1434,Ed Stanczak,2,1950,1951
1435,Larry Steele,9,1972,1980
1436,Caleb Swanigan,3,2018,2020
1437,Jeff Teague,12,2010,2021
1438,Marquis Teague,3,2013,2018
1439,Jon Teske,1,2022,2022
1440,Ray Tolbert,5,1982,1989
1441,Gene Tormohlen,6,1963,1970
1442,Bill Tosheff,3,1952,1954
1443,Monte Towe,2,1976,1977
1444,Jack Turner,1,1955,1955
1445,Dick Van Arsdale,12,1966,1977
1446,Tom Van Arsdale,12,1966,1977
1447,Jake Weber,1,1947,1947
1448,Bonzi Wells,10,1999,2008
1449,Bob Wilkerson,7,1977,1983
1450,Ward Williams,1,1949,1949
1451,Bobby Wilson,4,1975,1978
1452,Stephen Wilson,2,1971,1972
1453,Dylan Windler,2,2021,2022
1454,Randy Wittman,9,1984,1992
1455,Mike Woodson,11,1981,1991
1456,Cody Zeller,9,2014,2022
1457,Harrison Barnes,10,2013,2022
1458,Ryan Bowen,10,2000,2010
1459,Matt Bullard,11,1991,2002
1460,Nick Collison,14,2005,2018
1461,Darren Daye,5,1984,1988
1462,Al Eberhard,4,1975,1978
1463,Kenny Fields,4,1985,1988
1464,Matt Fish,3,1995,1997
1465,Dick Gibbs,5,1972,1976
1466,Hoot Gibson,1,1950,1950
1467,Bob Hansen,9,1984,1992
1468,Kirk Hinrich,13,2004,2016
1469,Jon Koncak,11,1986,1996
1470,Kevin Kunnert,9,1974,1982
1471,Raef LaFrentz,10,1999,2008
1472,Loren Meyer,3,1996,1999
1473,Todd Mundt,1,1996,1996
1474,Patrick O'Bryant,4,2007,2010
1475,Marcus Paige,1,2018,2018
1476,Brett Szabo,1,1997,1997
1477,Jarrod Uthoff,2,2017,2020
1478,Murray Wier,1,1950,1950
1479,Joe Wieskamp,1,2022,2022
1480,Luke Zeller,1,2013,2013
1481,Alvan Adams,13,1976,1988
1482,Lucius Allen,10,1970,1979
1483,Ron Baker,3,2017,2019
1484,Ernie Barrett,2,1954,1956
1485,Bob Brannum,5,1950,1955
1486,Willie Cauley-Stein,7,2016,2022
1487,Greg Dreiling,10,1987,1997
1488,Larry Drew,10,1981,1991
1489,Maurice Evans,9,2002,2012
1490,Ronald Franz,6,1968,1973
1491,Matt Freije,2,2005,2007
1492,Leonard Gray,3,1975,1977
1493,Adrian Griffin,9,2000,2008
1494,Scott Hastings,11,1983,1993
1495,Steve Henson,7,1991,1999
1496,Steven Hill,1,2009,2009
1497,Lionel Hollins,10,1976,1985
1498,Warren Jabali,7,1969,1975
1499,Maurice King,2,1960,1963
1500,Bob Kinney,2,1949,1950
1501,Dick Knostman,1,1954,1954
1502,Martin Lewis,2,1996,1997
1503,Riney Lochmann,3,1968,1970
1504,Ed Nealy,10,1983,1993
1505,Semi Ojeleye,5,2018,2022
1506,Johnny Orr,1,1950,1950
1507,Pierre Russell,2,1972,1973
1508,Melvin Sanders,1,2006,2006
1509,Otto Schnellbacher,1,1949,1949
1510,Howie Shannon,2,1949,1950
1511,Paul Shirley,3,2003,2005
1512,Wayne Simien,2,2006,2007
1513,Dean Wade,3,2020,2022
1514,Earl Watson,13,2002,2014
1515,Scott Wedman,13,1975,1987
1516,Korleone Young,1,1999,1999
1517,Derek Anderson,11,1998,2008
1518,Bob Arnzen,4,1970,1974
1519,Bird Averitt,5,1974,1978
1520,Henry Bacon,1,1973,1973
1521,Steve Bardo,3,1992,1996
1522,John Barnhill,10,1963,1972
1523,Butch Beard,9,1970,1979
1524,Ralph Beard,2,1950,1951
1525,Whitey Bell,2,1960,1961
1526,Winston Bennett,3,1990,1992
1527,Jerry Bird,1,1959,1959
1528,Phil Bond,1,1978,1978
1529,Orbie Bowling,1,1968,1968
1530,Greg Buckner,10,2000,2009
1531,Donnie Butcher,5,1962,1966
1532,Darel Carrier,6,1968,1973
1533,Rex Chapman,12,1989,2000
1534,Wayne Chapman,4,1969,1972
1535,Bob Cluggish,1,1947,1947
1536,Jack Coleman,9,1950,1958
1537,Glen Combs,7,1969,1975
1538,Jimmy Conner,1,1976,1976
1539,Dave Cowens,11,1971,1983
1540,Johnny Cox,1,1963,1963
1541,Wesley Cox,2,1978,1979
1542,Ralph Davis,2,1961,1962
1543,Blaine Denning,1,1953,1953
1544,Jerry Eaves,4,1983,1987
1545,Joe Fulks,8,1947,1954
1546,Jack Givens,2,1979,1980
1547,Clarence Glover,1,1972,1972
1548,Darrell Griffith,10,1981,1991
1549,Anthony Grundy,1,2006,2006
1550,Cliff Hagan,13,1957,1970
1551,Tom Hagan,2,1970,1971
1552,Joe Hamilton,6,1971,1976
1553,Steve Hamilton,2,1959,1960
1554,Clem Haskins,9,1968,1976
1555,Vern Hatton,4,1959,1962
1556,Aaron Henry,1,2022,2022
1557,Kenny Higgs,3,1979,1982
1558,Joe Holland,3,1950,1952
1559,Scotty Hopson,3,2014,2022
1560,Allan Houston,12,1994,2005
1561,Tony Jackson,1,1981,1981
1562,David Johnson,1,2022,2022
1563,Larry Johnson,1,1978,1978
1564,Wah Wah Jones,3,1950,1952
1565,Ron King,1,1974,1974
1566,Frank Kornet,2,1990,1991
1567,Tommy Kron,4,1967,1970
1568,Paul Long,4,1968,1971
1569,Shelvin Mack,8,2012,2019
1570,Rudy Macklin,3,1982,1984
1571,Kelan Martin,3,2020,2022
1572,Jim McDaniels,5,1972,1978
1573,Bob Miller,1,1984,1984
1574,Darius Miller,6,2013,2021
1575,John Mills,1,1947,1947
1576,Dirk Minniefield,3,1986,1988
1577,Dwayne Morton,1,1995,1995
1578,Bob Naber,1,1953,1953
1579,Paul Noel,5,1948,1952
1580,Ralph O'Brien,2,1952,1953
1581,John Oldham,2,1950,1951
1582,Scott Padgett,8,2000,2007
1583,Jack Parr,1,1959,1959
1584,Charlie Parsley,1,1950,1950
1585,Jim Price,7,1973,1979
1586,Mike Price,3,1971,1973
1587,Frank Ramsey,9,1955,1964
1588,Bobby Rascoe,3,1968,1970
1589,Arnie Risen,10,1949,1958
1590,Tex Ritter,3,1949,1951
1591,Phil Rollins,3,1959,1961
1592,Rajon Rondo,16,2007,2022
1593,D'Angelo Russell,7,2016,2022
1594,Jay Scrubb,2,2021,2022
1595,Frank Selvy,9,1955,1964
1596,Mike Silliman,1,1971,1971
1597,Alvin Sims,1,1999,1999
1598,Adrian Smith,11,1962,1972
1599,Donta Smith,2,2005,2006
1600,Garfield Smith,3,1971,1973
1601,Greg Smith,8,1969,1976
1602,Nolan Smith,2,2012,2013
1603,Sam Smith,4,1968,1971
1604,Ray Spalding,2,2019,2021
1605,Odie Spears,8,1949,1957
1606,Felton Spencer,12,1991,2002
1607,Larry Staverman,5,1959,1964
1608,George Stone,4,1969,1972
1609,Dan Swartz,1,1963,1963
1610,Terry Taylor,1,2022,2022
1611,Vince Taylor,1,1983,1983
1612,Tom Thacker,7,1964,1971
1613,Ronald Thomas,4,1973,1976
1614,Dallas Thornton,2,1969,1970
1615,Dan Tieman,1,1963,1963
1616,Jack Tingle,2,1948,1949
1617,George Tinsley,2,1970,1972
1618,Blackie Towery,2,1949,1950
1619,Jim Tucker,3,1955,1957
1620,Jack Turner,1,1962,1962
1621,Melvin Turpin,5,1985,1990
1622,Charlie Tyra,5,1958,1962
1623,Wes Unseld,13,1969,1981
1624,Virgil Vaughn,1,1947,1947
1625,Paul Walther,6,1950,1955
1626,Bob Warren,8,1969,1976
1627,P.J. Washington,3,2020,2022
1628,Bobby Watson,1,1955,1955
1629,Bubba Wells,1,1998,1998
1630,DeJuan Wheat,2,1998,1999
1631,Chris Whitney,11,1994,2004
1632,Rick Wilson,2,1979,1980
1633,Howie Wright,2,1971,1972
1634,D.J. Augustin,14,2009,2022
1635,Brandon Bass,12,2006,2017
1636,Benoit Benjamin,15,1986,2000
1637,David Benoit,7,1992,2001
1638,Tim Breaux,3,1995,1998
1639,Frankie Brian,7,1950,1956
1640,Kedrick Brown,4,2002,2005
1641,Markel Brown,3,2015,2018
1642,Tierre Brown,4,2002,2005
1643,Stanley Brundy,1,1990,1990
1644,Jared Butler,1,2022,2022
1645,Howard Carter,2,1984,1985
1646,Don Chaney,12,1969,1980
1647,John Chaney,1,1950,1950
1648,Leroy Chollet,2,1950,1951
1649,John Comeaux,1,1968,1968
1650,Glen Davis,8,2008,2015
1651,Mark Davis,5,1996,2000
1652,Bryce Drew,6,1999,2004
1653,Clyde Drexler,15,1984,1998
1654,Chris Duhon,9,2005,2013
1655,Joe Dumars,14,1986,1999
1656,Ledell Eackles,7,1989,1998
1657,Sherell Ford,1,1996,1996
1658,De'Aaron Fox,5,2018,2022
1659,Melvin Frazier,3,2019,2022
1660,Will Frazier,3,1966,1969
1661,Langston Galloway,8,2015,2022
1662,Danny Granger,10,2006,2015
1663,Josh Gray,2,2018,2020
1664,Tommie Green,1,1979,1979
1665,Tony Harris,3,1991,1995
1666,Elvin Hayes,16,1969,1984
1667,Rod Higgins,13,1983,1995
1668,Aaron Holiday,4,2019,2022
1669,Jerald Honeycutt,2,1998,1999
1670,Bob Hopkins,4,1957,1960
1671,Jaren Jackson,12,1990,2002
1672,Aaron James,5,1975,1979
1673,Antawn Jamison,16,1999,2014
1674,DeJon Jarreau,1,2022,2022
1675,Avery Johnson,16,1989,2004
1676,Carldell Johnson,1,2012,2012
1677,Dave Johnson,2,1993,1994
1678,Ervin Johnson,13,1994,2006
1679,Marques Johnson,11,1978,1990
1680,Damian Jones,6,2017,2022
1681,Jimmy Jones,10,1968,1977
1682,Perry Jones,3,2013,2015
1683,Steve Jones,9,1968,1976
1684,Harold Keeling,1,1986,1986
1685,Carl Kilpatrick,1,1980,1980
1686,Gerard King,3,1999,2001
1687,Oliver Lafayette,1,2010,2010
1688,Edmund Lawrence,1,1981,1981
1689,Rashard Lewis,16,1999,2014
1690,Randy Livingston,11,1997,2007
1691,Shawn Long,1,2017,2017
1692,Bob Love,11,1967,1977
1693,Karl Malone,19,1986,2004
1694,Jarell Martin,4,2016,2019
1695,Skylar Mays,2,2021,2022
1696,John McConathy,1,1952,1952
1697,Mel McGaha,1,1949,1949
1698,Elijah Millsap,3,2015,2017
1699,Paul Millsap,16,2007,2022
1700,Greg Monroe,10,2011,2022
1701,Jackie Moreland,8,1961,1970
1702,Calvin Natt,11,1980,1990
1703,Kenny Natt,3,1981,1985
1704,Malik Newman,2,2020,2022
1705,Kelly Oubre Jr.,7,2016,2022
1706,Robert Pack,13,1992,2004
1707,Gerald Paddio,3,1991,1994
1708,Robert Parish,21,1977,1997
1709,Elfrid Payton,8,2015,2022
1710,Warren Perkins,2,1950,1951
1711,Bob Pettit,11,1955,1965
1712,Bobby Phills,9,1992,2000
1713,Cincinnatus Powell,8,1968,1975
1714,Anthony Pullard,1,1993,1993
1715,Chris Quinn,6,2007,2013
1716,James Ray,3,1981,1983
1717,Eldridge Recasner,8,1995,2002
1718,Willis Reed,10,1965,1974
1719,Larry Robinson,7,1991,2002
1720,Donald Royal,8,1990,1998
1721,John Rudd,1,1979,1979
1722,Bill Russell,13,1957,1969
1723,Robert Sacre,4,2013,2016
1724,Brandon Sampson,1,2019,2019
1725,Al Sanders,1,1973,1973
1726,Mike Sanders,11,1983,1993
1727,Woody Sauldsberry,7,1958,1966
1728,Glynn Saulters,1,1969,1969
1729,Bruce Seals,5,1974,1978
1730,James Silas,10,1973,1982
1731,Grant Simmons,2,1968,1969
1732,Walter Simon,7,1968,1974
1733,Donald Sloan,5,2012,2016
1734,Javonte Smart,1,2022,2022
1735,Keith Smart,1,1989,1989
1736,Mike Smith,1,2001,2001
1737,Sam Smith,2,1979,1980
1738,Stromile Swift,9,2001,2009
1739,Collis Temple,1,1975,1975
1740,Garrett Temple,12,2010,2022
1741,Billy Thomas,3,2005,2008
1742,Tyrus Thomas,8,2007,2015
1743,Marcus Thornton,8,2010,2017
1744,Von Wafer,6,2006,2012
1745,Randy White,5,1990,1994
1746,Morlon Wiley,7,1989,1995
1747,Brandon Williams,3,1998,2003
1748,Hot Rod Williams,13,1987,1999
1749,Nate Williams,8,1972,1979
1750,Robert Williams,4,2019,2022
1751,Dedric Willoughby,1,2000,2000
1752,Nikita Wilson,1,1988,1988
1753,Orlando Woolridge,13,1982,1994
1754,Larry Wright,6,1977,1982
1755,Thaddeus Young,15,2008,2022
1756,Tony Zeno,1,1980,1980
1757,Derrick Zimmerman,1,2006,2006
1758,Duncan Robinson,4,2019,2022
1759,Jeff Turner,10,1985,1996
1760,Jaylen Adams,2,2019,2021
1761,Jamel Artis,1,2018,2018
1762,Ken Bannister,5,1985,1991
1763,Will Barton,10,2013,2022
1764,Dave Batton,2,1983,1984
1765,Lonny Baxter,4,2003,2006
1766,Michael Beasley,11,2009,2019
1767,Norman Black,1,1981,1981
1768,Muggsy Bogues,14,1988,2001
1769,Josh Boone,4,2007,2010
1770,Keith Booth,2,1998,1999
1771,Ken Boyd,1,1975,1975
1772,Charles Bradley,3,1982,1984
1773,Dudley Bradley,9,1980,1989
1774,Reggie Bullock,9,2014,2022
1775,Evers Burns,1,1994,1994
1776,Sam Cassell,15,1994,2008
1777,Marcus Cousin,1,2011,2011
1778,Dante Cunningham,10,2010,2019
1779,Quintin Dailey,10,1983,1992
1780,Malcolm Delaney,2,2017,2018
1781,Juan Dixon,7,2003,2009
1782,Joey Dorsey,4,2009,2015
1783,Jeff Dowtin,1,2022,2022
1784,Terry Dozier,1,1990,1990
1785,Jerome Dyson,1,2012,2012
1786,Corsley Edwards,1,2005,2005
1787,Kim English,1,2013,2013
1788,Duane Ferrell,11,1989,1999
1789,Danny Ferry,13,1991,2003
1790,Steve Francis,9,2000,2008
1791,Markelle Fultz,5,2018,2022
1792,Paul Gordon,1,1950,1950
1793,Treveon Graham,4,2017,2020
1794,Jerian Grant,5,2016,2020
1795,Devin Gray,2,1997,2000
1796,Jeff Green,14,2008,2022
1797,Josh Hart,5,2018,2022
1798,Kevin Henderson,2,1987,1988
1799,Haywood Highsmith,2,2019,2022
1800,Jarrett Jack,13,2006,2018
1801,Tracy Jackson,3,1982,1984
1802,Thomas Jordan,1,1993,1993
1803,Stanton Kidd,1,2020,2020
1804,Ty Lawson,8,2010,2017
1805,Damion Lee,5,2018,2022
1806,Kurk Lee,1,1991,1991
1807,Reggie Lewis,6,1988,1993
1808,Matt Maloney,6,1997,2003
1809,Chris McCray,1,2007,2007
1810,Rodney McGruder,6,2017,2022
1811,Malcolm Miller,3,2018,2020
1812,Rodney Monroe,1,1992,1992
1813,Terence Morris,3,2002,2006
1814,Gary Neal,7,2011,2017
1815,Daniel Ochefu,1,2017,2017
1816,Victor Oladipo,9,2014,2022
1817,Arinze Onuaku,3,2014,2017
1818,Chinanu Onuaku,2,2017,2018
1819,Trevelin Queen,1,2022,2022
1820,Immanuel Quickley,2,2021,2022
1821,Dennis Scott,10,1991,2000
1822,Josh Selby,2,2012,2013
1823,Gene Shue,10,1955,1964
1824,Dickey Simpkins,7,1995,2002
1825,Henry Sims,4,2013,2016
1826,Tal Skinner,2,1975,1976
1827,Larry Spriggs,5,1982,1986
1828,DaJuan Summers,4,2010,2013
1829,Mike Sweetney,4,2004,2007
1830,Isaiah Todd,1,2022,2022
1831,Marvin Webster,10,1976,1987
1832,Greg Whittington,1,2021,2021
1833,Reggie Williams,10,1988,1997
1834,Kennard Winchester,3,1991,1993
1835,David Wingate,15,1987,2001
1836,Perry Young,1,1987,1987
1837,Jeff Adrien,5,2011,2015
1838,John Amaechi,5,1996,2003
1839,Antonio Anderson,1,2010,2010
1840,Cedric Ball,1,1991,1991
1841,Dana Barros,14,1990,2004
1842,Darius Bazley,3,2020,2022
1843,Travis Best,10,1996,2005
1844,Bob Bigelow,4,1976,1979
1845,Will Blalock,1,2007,2007
1846,Michael Bradley,5,2002,2006
1847,Bruce Brown,4,2019,2022
1848,Bob Carrington,2,1978,1980
1849,Michael Carter-Williams,8,2014,2021
1850,Pat Connaughton,7,2016,2022
1851,Armand Cure,1,1947,1947
1852,Bill Curley,5,1995,2001
1853,Vinny Del Negro,12,1989,2002
1854,Terry Driscoll,5,1971,1975
1855,Patrick Ewing,1,2011,2011
1856,Jack Foley,1,1963,1963
1857,Matt Geiger,10,1993,2002
1858,Adam Harrington,1,2003,2003
1859,Chris Herren,2,2000,2001
1860,Bill Hewitt,6,1969,1975
1861,Bob Hubbard,2,1948,1949
1862,Randell Jackson,2,1999,2000
1863,Toby Kimball,9,1967,1975
1864,Bill Laimbeer,14,1981,1994
1865,Tony Lavelli,2,1950,1951
1866,Jake Layman,6,2017,2022
1867,Ron Lee,6,1977,1982
1868,Russ Lee,3,1973,1975
1869,Dwayne McClain,1,1986,1986
1870,Shabazz Napier,6,2015,2020
1871,Georges Niang,6,2017,2022
1872,Demetris Nichols,2,2008,2009
1873,Nerlens Noel,8,2015,2022
1874,Grady O'Malley,1,1970,1970
1875,Wayne Selden,4,2017,2022
1876,Courtney Sims,2,2008,2009
1877,Stan Stutz,3,1947,1949
1878,Jared Terrell,1,2019,2019
1879,Lou Tsioropoulos,3,1957,1959
1880,Wayne Turner,1,2000,2000
1881,Noah Vonleh,7,2015,2021
1882,Maurice Ager,4,2007,2011
1883,Henry Akin,3,1967,1969
1884,Victor Alexander,5,1992,2002
1885,Keith Appling,1,2016,2016
1886,B.J. Armstrong,11,1990,2000
1887,Bob Armstrong,1,1957,1957
1888,Paris Bass,1,2022,2022
1889,Shane Battier,13,2002,2014
1890,Charlie Bell,7,2002,2011
1891,Ricky Berry,1,1989,1989
1892,Devin Booker,7,2016,2022
1893,Don Boven,3,1950,1953
1894,Brian Bowen,2,2020,2021
1895,Miles Bridges,4,2019,2022
1896,John Brisker,6,1970,1975
1897,P.J. Brown,15,1994,2008
1898,Bill Buntin,1,1966,1966
1899,Willie Burton,8,1991,1999
1900,Demetrius Calip,1,1992,1992
1901,Geno Carlisle,1,2005,2005
1902,Wilson Chandler,12,2008,2020
1903,Mateen Cleaves,6,2001,2006
1904,Fred Cofield,2,1986,1987
1905,Duane Cooper,2,1993,1994
1906,Matt Costello,1,2018,2018
1907,Chris Crawford,7,1998,2004
1908,Joe Crawford,1,2009,2009
1909,Jordan Crawford,6,2011,2018
1910,Earl Cureton,12,1981,1997
1911,Mel Daniels,9,1968,1977
1912,Deyonta Davis,3,2017,2019
1913,Johnny Davis,10,1977,1986
1914,Paul Davis,4,2007,2010
1915,Paul Dawkins,1,1980,1980
1916,Dave DeBusschere,12,1963,1974
1917,Andrew DeClercq,10,1996,2005
1918,Derrick Dial,4,2000,2004
1919,Chris Douglas-Roberts,6,2009,2015
1920,Terry Duerod,4,1980,1983
1921,Charles Edge,2,1974,1975
1922,Rob Edwards,1,2022,2022
1923,Howard Eisley,12,1995,2006
1924,Bob Elliott,3,1979,1981
1925,Desmon Farmer,2,2007,2009
1926,Butch Feher,1,1977,1977
1927,Kay Felder,2,2017,2018
1928,Desmond Ferguson,1,2004,2004
1929,Marcus Fizer,6,2001,2006
1930,Bryn Forbes,6,2017,2022
1931,Tony Fuller,1,1981,1981
1932,Terry Furlow,4,1977,1980
1933,Derrick Gervin,2,1990,1991
1934,George Gervin,14,1973,1986
1935,Ben Gillery,1,1989,1989
1936,Jeff Grayer,9,1989,1998
1937,Draymond Green,10,2013,2022
1938,Willie Green,12,2004,2015
1939,Paul Griffin,7,1977,1983
1940,Robert Hahn,1,1950,1950
1941,Lindsay Hairston,1,1976,1976
1942,Malik Hairston,2,2009,2010
1943,Darvin Ham,8,1997,2005
1944,Ben Handlogten,2,2004,2005
1945,Reggie Harding,4,1964,1968
1946,Alan Hardy,2,1981,1982
1947,Manny Harris,4,2011,2017
1948,Bubbles Hawkins,4,1976,1979
1949,Nate Huffman,1,2003,2003
1950,Vince Hunter,1,2018,2018
1951,Willie Iverson,1,1969,1969
1952,Isaiah Jackson,1,2022,2022
1953,Jermaine Jackson,5,2000,2006
1954,Darryl Johnson,1,1996,1996
1955,Ken Johnson,1,2003,2003
1956,Magic Johnson,13,1980,1996
1957,Neil Johnson,7,1967,1973
1958,Bill Jones,1,1989,1989
1959,Chris Kaman,13,2004,2016
1960,Negele Knight,6,1991,1999
1961,Joe Kopicki,3,1983,1985
1962,Tom Kozelko,3,1974,1976
1963,Kyle Kuzma,5,2018,2022
1964,Tom LaGarde,6,1978,1985
1965,George Lee,7,1961,1968
1966,Voshon Lenard,11,1996,2006
1967,Isaiah Livers,1,2022,2022
1968,Kevin Loder,3,1982,1984
1969,Grant Long,15,1989,2003
1970,John Long,14,1979,1997
1971,Kalin Lucas,2,2015,2019
1972,Mark Macon,6,1992,1999
1973,Dan Majerle,14,1989,2002
1974,Devyn Marble,2,2015,2016
1975,Roy Marble,2,1990,1994
1976,Donny Marshall,5,1996,2003
1977,Kenyon Martin,15,2001,2015
1978,Phil Martin,1,1955,1955
1979,Yante Maten,1,2019,2019
1980,Bill Mayfield,1,1981,1981
1981,Tim McCormick,8,1985,1992
1982,JaVale McGee,14,2009,2022
1983,Maurice McHartley,3,1968,1970
1984,Kenny McIntosh,4,1972,1975
1985,Anthony Miller,8,1995,2005
1986,Terry Mills,11,1991,2001
1987,Eric Money,6,1975,1980
1988,Monte Morris,5,2018,2022
1989,Don Nelson,14,1963,1976
1990,Ira Newble,8,2001,2008
1991,Connie Norman,3,1975,1979
1992,Mike Peplowski,3,1994,1996
1993,Morris Peterson,11,2001,2011
1994,Jerry Pettway,2,1968,1969
1995,Gary Plummer,2,1985,1993
1996,Ben Poquette,10,1978,1987
1997,Shawn Respert,4,1996,1999
1998,Jason Richardson,13,2002,2015
1999,Anthony Roberson,3,2006,2009
2000,Terrance Roberson,1,2001,2001
2001,Tony Robertson,2,1978,1979
2002,Eddie Robinson,5,2000,2004
2003,Carlos Rogers,8,1995,2002
2004,Jalen Rose,13,1995,2007
2005,Dan Roundfield,12,1976,1987
2006,Guy Rucker,1,2003,2003
2007,Walker Russell,6,1983,1988
2008,Walker Russell,1,2012,2012
2009,Steve Scheffler,7,1991,1997
2010,Tom Scheffler,1,1985,1985
2011,Brent Scott,1,1997,1997
2012,John Shasky,3,1989,1991
2013,Ralph Siewert,1,1947,1947
2014,Ralph Simpson,10,1971,1980
2015,Doug Smith,5,1992,1996
2016,Keith Smith,1,1987,1987
2017,Steve Smith,14,1992,2005
2018,Guy Sparrow,3,1958,1960
2019,Art Spoelstra,4,1955,1958
2020,Matt Steigenga,1,1997,1997
2021,Barry Stevens,1,1993,1993
2022,Art Stolkey,1,1947,1947
2023,Edmond Sumner,4,2018,2021
2024,Maurice Taylor,9,1998,2007
2025,Terry Thomas,1,1976,1976
2026,Xavier Tillman Sr.,2,2021,2022
2027,Rudy Tomjanovich,11,1971,1981
2028,George Trapp,6,1972,1977
2029,John Trapp,5,1969,1973
2030,Robert Traylor,7,1999,2005
2031,Terry Tyler,11,1979,1989
2032,Tyler Ulis,3,2017,2019
2033,Denzel Valentine,5,2017,2022
2034,Loy Vaught,11,1991,2001
2035,Jay Vincent,9,1982,1990
2036,Sam Vincent,7,1986,1992
2037,Derrick Walton,3,2018,2022
2038,Chris Webber,15,1994,2008
2039,Robert Whaley,1,2006,2006
2040,Shayne Whittington,2,2015,2016
2041,Ken Wilburn,2,1968,1969
2042,Cassius Winston,2,2021,2022
2043,James Young,4,2015,2018
2044,Cole Aldrich,8,2011,2018
2045,Alan Anderson,8,2006,2017
2046,Dan Anderson,2,1968,1969
2047,Troy Bell,1,2004,2004
2048,Don Bielke,1,1956,1956
2049,Randy Breuer,11,1984,1994
