,Player Name,Birth Year,Age,Seasons in NBA,Team (3 Letter)
8148,Mickell Gladness,,25.0,1,GSW
8149,Mike Bibby,,33.0,14,NYK
8150,Mike Conley,,24.0,5,MEM
8151,Mike Dunleavy,1980.0,31.0,10,MIL
8152,Mike James,1975.0,36.0,10,CHI
8153,Mike Miller,,31.0,12,MIA
8154,Mikki Moore,,36.0,13,GSW
8155,Mo Williams,,29.0,9,LAC
8156,Monta Ellis,,26.0,7,TOT
8157,Monta Ellis,,26.0,7,GSW
8158,Monta Ellis,,26.0,7,MIL
8159,Morris Almond,,26.0,3,WAS
8160,Mychel Thompson,,23.0,1,CLE
8161,Nate Robinson,,27.0,7,GSW
8162,Nazr Mohammed,,34.0,14,OKC
8163,Nenê,,29.0,10,TOT
8164,Nenê,,29.0,10,DEN
8165,Nenê,,29.0,10,WAS
8166,Nick Collison,,31.0,8,OKC
8167,Nick Young,,26.0,5,TOT
8168,Nick Young,,26.0,5,WAS
8169,Nick Young,,26.0,5,LAC
8170,Nicolas Batum,,23.0,4,POR
8171,Nikola Peković,,26.0,2,MIN
8172,Nikola Vučević,,21.0,1,PHI
8173,Nolan Smith,,23.0,1,POR
8174,Norris Cole,,23.0,1,MIA
8175,O.J. Mayo,,24.0,4,MEM
8176,Omri Casspi,,23.0,3,CLE
8177,Patrick Patterson,,22.0,2,HOU
8178,Patty Mills,,23.0,3,SAS
8179,Pau Gasol,,31.0,11,LAL
8180,Paul George,,21.0,2,IND
8181,Paul Millsap,,26.0,6,UTA
8182,Paul Pierce,,34.0,14,BOS
8183,Quentin Richardson,,31.0,12,ORL
8184,Quincy Pondexter,,23.0,2,MEM
8185,Raja Bell,,35.0,12,UTA
8186,Rajon Rondo,,25.0,6,BOS
8187,Ramon Sessions,,25.0,5,TOT
8188,Ramon Sessions,,25.0,5,CLE
8189,Ramon Sessions,,25.0,5,LAL
8190,Randy Foye,,28.0,6,LAC
8191,Rashard Lewis,,32.0,14,WAS
8192,Rasual Butler,,32.0,10,TOR
8193,Ray Allen,,36.0,16,BOS
8194,Raymond Felton,,27.0,7,POR
8195,Reggie Evans,,31.0,10,LAC
8196,Reggie Jackson,,21.0,1,OKC
8197,Reggie Williams,1986.0,25.0,3,CHA
8198,Renaldo Balkman,,27.0,6,NYK
8199,Richard Hamilton,,33.0,13,CHI
8200,Richard Jefferson,,31.0,11,TOT
8201,Richard Jefferson,,31.0,11,SAS
8202,Richard Jefferson,,31.0,11,GSW
8203,Ricky Rubio,,21.0,1,MIN
8204,Robin Lopez,,23.0,4,PHO
8205,Rodney Stuckey,,25.0,5,DET
8206,Rodrigue Beaubois,,23.0,3,DAL
8207,Roger Mason,,31.0,8,WAS
8208,Ronnie Brewer,,26.0,6,CHI
8209,Ronnie Price,,28.0,7,PHO
8210,Ronny Turiaf,,29.0,7,TOT
8211,Ronny Turiaf,,29.0,7,WAS
8212,Ronny Turiaf,,29.0,7,MIA
8213,Roy Hibbert,,25.0,4,IND
8214,Royal Ivey,,30.0,8,OKC
8215,Rudy Fernández,,26.0,4,DEN
8216,Rudy Gay,,25.0,6,MEM
8217,Russell Westbrook,,23.0,4,OKC
8218,Ryan Anderson,,23.0,4,ORL
8219,Ryan Gomes,,29.0,7,LAC
8220,Ryan Hollins,,27.0,6,TOT
8221,Ryan Hollins,,27.0,6,CLE
8222,Ryan Hollins,,27.0,6,BOS
8223,Ryan Reid,,25.0,1,OKC
8224,Sam Young,,26.0,3,TOT
8225,Sam Young,,26.0,3,MEM
8226,Sam Young,,26.0,3,PHI
8227,Samardo Samuels,,23.0,2,CLE
8228,Samuel Dalembert,,30.0,10,HOU
8229,Sasha Pavlović,,28.0,9,BOS
8230,Sean Williams,,25.0,4,TOT
8231,Sean Williams,,25.0,4,DAL
8232,Sean Williams,,25.0,4,BOS
8233,Sebastian Telfair,,26.0,8,PHO
8234,Semih Erden,,25.0,2,CLE
8235,Serge Ibaka,,22.0,3,OKC
8236,Shane Battier,,33.0,11,MIA
8237,Shannon Brown,,26.0,6,PHO
8238,Shaun Livingston,,26.0,7,MIL
8239,Shawn Marion,,33.0,13,DAL
8240,Shawne Williams,,25.0,5,NJN
8241,Shelden Williams,,28.0,6,NJN
8242,Shelvin Mack,,21.0,1,WAS
8243,Solomon Alabi,,23.0,2,TOR
8244,Solomon Jones,,27.0,6,TOT
8245,Solomon Jones,,27.0,6,LAC
8246,Solomon Jones,,27.0,6,NOH
8247,Spencer Hawes,,23.0,5,PHI
8248,Stephen Curry,,23.0,3,GSW
8249,Stephen Jackson,,33.0,12,TOT
8250,Stephen Jackson,,33.0,12,MIL
8251,Stephen Jackson,,33.0,12,SAS
8252,Steve Blake,,31.0,9,LAL
8253,Steve Nash,,37.0,16,PHO
8254,Steve Novak,,28.0,6,NYK
8255,Sundiata Gaines,,25.0,3,NJN
8256,T.J. Ford,,28.0,8,SAS
8257,Taj Gibson,,26.0,3,CHI
8258,Tayshaun Prince,,31.0,10,DET
8259,Terrel Harris,,24.0,1,MIA
8260,Terrence Williams,,24.0,3,TOT
8261,Terrence Williams,,24.0,3,HOU
8262,Terrence Williams,,24.0,3,SAC
8263,Thabo Sefolosha,,27.0,6,OKC
8264,Thaddeus Young,,23.0,5,PHI
8265,Tiago Splitter,,27.0,2,SAS
8266,Tim Duncan,,35.0,15,SAS
8267,Timofey Mozgov,,25.0,2,DEN
8268,Tobias Harris,,19.0,1,MIL
8269,Toney Douglas,,25.0,3,NYK
8270,Tony Allen,,30.0,8,MEM
8271,Tony Battie,,35.0,14,PHI
8272,Tony Parker,,29.0,11,SAS
8273,Tracy McGrady,,32.0,15,ATL
8274,Travis Leslie,,21.0,1,LAC
8275,Travis Outlaw,,27.0,9,SAC
8276,Trevor Ariza,,26.0,8,NOH
8277,Trevor Booker,,24.0,2,WAS
8278,Trey Johnson,,27.0,3,NOH
8279,Trey Thompkins,,21.0,1,LAC
8280,Tristan Thompson,,20.0,1,CLE
8281,Troy Murphy,,31.0,11,LAL
8282,Ty Lawson,,24.0,3,DEN
8283,Tyler Hansbrough,,26.0,3,IND
8284,Tyler Honeycutt,,21.0,1,SAC
8285,Tyreke Evans,,22.0,3,SAC
8286,Tyrus Thomas,,25.0,6,CHA
8287,Tyson Chandler,,29.0,11,NYK
8288,Udonis Haslem,,31.0,9,MIA
8289,Vernon Macklin,,25.0,1,DET
8290,Vince Carter,,35.0,14,DAL
8291,Vladimir Radmanović,,31.0,11,ATL
8292,Von Wafer,,26.0,6,ORL
8293,Walker Russell,1982.0,29.0,1,DET
8294,Wayne Ellington,,24.0,3,MIN
8295,Wesley Johnson,,24.0,2,MIN
8296,Wesley Matthews,,25.0,3,POR
8297,Will Bynum,,29.0,5,DET
8298,Willie Green,,30.0,9,ATL
8299,Wilson Chandler,,24.0,5,DEN
8300,Xavier Henry,,20.0,2,NOH
8301,Xavier Silas,,24.0,1,PHI
8302,Yi Jianlian,,24.0,5,DAL
8303,Zach Randolph,,30.0,11,MEM
8304,Zaza Pachulia,,27.0,9,ATL
8305,Ömer Aşık,,25.0,2,CHI
8306,A.J. Price,,24.0,2,IND
8307,Aaron Brooks,,26.0,4,TOT
8308,Aaron Brooks,,26.0,4,HOU
8309,Aaron Brooks,,26.0,4,PHO
8310,Aaron Gray,,26.0,4,NOH
8311,Acie Law,,26.0,4,TOT
8312,Acie Law,,26.0,4,MEM
8313,Acie Law,,26.0,4,GSW
8314,Al Harrington,,30.0,13,DEN
8315,Al Horford,,24.0,4,ATL
8316,Al Jefferson,,26.0,7,UTA
8317,Al Thornton,,27.0,4,TOT
8318,Al Thornton,,27.0,4,WAS
8319,Al Thornton,,27.0,4,GSW
8320,Al-Farouq Aminu,,20.0,1,LAC
8321,Alexis Ajinça,,22.0,3,TOT
8322,Alexis Ajinça,,22.0,3,DAL
8323,Alexis Ajinça,,22.0,3,TOR
8324,Alonzo Gee,,23.0,2,TOT
8325,Alonzo Gee,,23.0,2,SAS
8326,Alonzo Gee,,23.0,2,WAS
8327,Alonzo Gee,,23.0,2,CLE
8328,Amar'e Stoudemire,,28.0,9,NYK
8329,Amir Johnson,,23.0,6,TOR
8330,Anderson Varejão,,28.0,7,CLE
8331,Andray Blatche,,24.0,6,WAS
8332,Andre Iguodala,,27.0,7,PHI
8333,Andre Miller,,34.0,12,POR
8334,Andrea Bargnani,,25.0,5,TOR
8335,Andrei Kirilenko,,29.0,10,UTA
8336,Andrew Bogut,,26.0,6,MIL
8337,Andrew Bynum,,23.0,6,LAL
8338,Andris Biedriņš,,24.0,7,GSW
8339,Andrés Nocioni,,31.0,7,PHI
8340,Andy Rautins,,24.0,1,NYK
8341,Antawn Jamison,,34.0,13,CLE
8342,Anthony Carter,,35.0,12,TOT
8343,Anthony Carter,,35.0,12,DEN
8344,Anthony Carter,,35.0,12,NYK
8345,Anthony Morrow,,25.0,3,NJN
8346,Anthony Parker,,35.0,8,CLE
8347,Anthony Randolph,,21.0,3,TOT
8348,Anthony Randolph,,21.0,3,NYK
8349,Anthony Randolph,,21.0,3,MIN
8350,Anthony Tolliver,,25.0,3,MIN
8351,Antoine Wright,,26.0,6,SAC
8352,Antonio Daniels,,35.0,13,PHI
8353,Antonio McDyess,,36.0,15,SAS
8354,Armon Johnson,,21.0,1,POR
8355,Arron Afflalo,,25.0,4,DEN
8356,Austin Daye,,22.0,2,DET
8357,Avery Bradley,,20.0,1,BOS
8358,Baron Davis,,31.0,12,TOT
8359,Baron Davis,,31.0,12,LAC
8360,Baron Davis,,31.0,12,CLE
8361,Ben Gordon,,27.0,7,DET
8362,Ben Uzoh,,22.0,1,NJN
8363,Ben Wallace,,36.0,15,DET
8364,Beno Udrih,,28.0,7,SAC
8365,Blake Griffin,,21.0,1,LAC
8366,Bobby Simmons,,30.0,9,SAS
8367,Boris Diaw,,28.0,8,CHA
8368,Brad Miller,,34.0,13,HOU
8369,Brandan Wright,,23.0,3,TOT
8370,Brandan Wright,,23.0,3,GSW
8371,Brandan Wright,,23.0,3,NJN
8372,Brandon Bass,,25.0,6,ORL
8373,Brandon Jennings,,21.0,2,MIL
8374,Brandon Roy,,26.0,5,POR
8375,Brandon Rush,,25.0,3,IND
8376,Brendan Haywood,,31.0,10,DAL
8377,Brian Cardinal,,33.0,11,DAL
8378,Brian Cook,,30.0,8,LAC
8379,Brian Scalabrine,,32.0,10,CHI
8380,Brian Skinner,,34.0,13,MIL
8381,Brook Lopez,,22.0,3,NJN
8382,Byron Mullens,,21.0,2,OKC
8383,C.J. Miles,,23.0,6,UTA
8384,C.J. Watson,,26.0,4,CHI
8385,Carl Landry,,27.0,4,TOT
8386,Carl Landry,,27.0,4,SAC
8387,Carl Landry,,27.0,4,NOH
8388,Carlos Arroyo,,31.0,9,TOT
8389,Carlos Arroyo,,31.0,9,MIA
8390,Carlos Arroyo,,31.0,9,BOS
8391,Carlos Boozer,,29.0,9,CHI
8392,Carlos Delfino,,28.0,6,MIL
8393,Carmelo Anthony,,26.0,8,TOT
8394,Carmelo Anthony,,26.0,8,DEN
8395,Carmelo Anthony,,26.0,8,NYK
8396,Caron Butler,,30.0,9,DAL
8397,Cartier Martin,,26.0,3,WAS
8398,Channing Frye,,27.0,6,PHO
8399,Charlie Bell,,31.0,7,GSW
8400,Charlie Villanueva,,26.0,6,DET
8401,Chase Budinger,,22.0,2,HOU
8402,Chauncey Billups,,34.0,14,TOT
8403,Chauncey Billups,,34.0,14,DEN
8404,Chauncey Billups,,34.0,14,NYK
8405,Chris Andersen,,32.0,9,DEN
8406,Chris Bosh,,26.0,8,MIA
8407,Chris Douglas-Roberts,,24.0,3,MIL
8408,Chris Duhon,,28.0,7,ORL
8409,Chris Johnson,1985.0,25.0,1,TOT
8410,Chris Johnson,1985.0,25.0,1,POR
8411,Chris Johnson,1985.0,25.0,1,BOS
8412,Chris Kaman,,28.0,8,LAC
8413,Chris Paul,,25.0,6,NOH
8414,Chris Quinn,,27.0,5,SAS
8415,Chris Wilcox,,28.0,9,DET
8416,Christian Eyenga,,21.0,1,CLE
8417,Chuck Hayes,,27.0,6,HOU
8418,Cole Aldrich,,22.0,1,OKC
8419,Corey Brewer,,24.0,4,TOT
8420,Corey Brewer,,24.0,4,MIN
8421,Corey Brewer,,24.0,4,DAL
8422,Corey Maggette,,31.0,12,MIL
8423,Courtney Lee,,25.0,3,HOU
8424,Craig Brackins,,23.0,1,PHI
8425,Craig Smith,,27.0,5,LAC
8426,D.J. Augustin,,23.0,3,CHA
8427,D.J. Mbenga,,30.0,7,NOH
8428,D.J. White,,24.0,3,TOT
8429,D.J. White,,24.0,3,OKC
8430,D.J. White,,24.0,3,CHA
8431,DaJuan Summers,,23.0,2,DET
8432,Daequan Cook,,23.0,4,OKC
8433,Dahntay Jones,,30.0,8,IND
8434,Damien Wilkins,,31.0,7,ATL
8435,Damion James,,23.0,1,NJN
8436,Dan Gadzuric,,32.0,9,TOT
8437,Dan Gadzuric,,32.0,9,GSW
8438,Dan Gadzuric,,32.0,9,NJN
8439,Daniel Gibson,,24.0,5,CLE
8440,Danilo Gallinari,,22.0,3,TOT
8441,Danilo Gallinari,,22.0,3,NYK
8442,Danilo Gallinari,,22.0,3,DEN
8443,Danny Granger,,27.0,6,IND
8444,Danny Green,,23.0,2,SAS
8445,Dante Cunningham,,23.0,2,TOT
8446,Dante Cunningham,,23.0,2,POR
8447,Dante Cunningham,,23.0,2,CHA
8448,Darius Songaila,,32.0,8,PHI
8449,Darko Miličić,,25.0,8,MIN
8450,Darnell Jackson,,25.0,3,SAC
8451,Darrell Arthur,,22.0,3,MEM
8452,Darren Collison,,23.0,2,IND
8453,David Andersen,,30.0,2,TOT
8454,David Andersen,,30.0,2,TOR
8455,David Andersen,,30.0,2,NOH
8456,David Lee,1983.0,27.0,6,GSW
8457,David West,,30.0,8,NOH
8458,DeAndre Jordan,,22.0,3,LAC
8459,DeJuan Blair,,21.0,2,SAS
8460,DeMar DeRozan,,21.0,2,TOR
8461,DeMarcus Cousins,,20.0,1,SAC
8462,DeMarre Carroll,,24.0,2,TOT
8463,DeMarre Carroll,,24.0,2,MEM
8464,DeMarre Carroll,,24.0,2,HOU
8465,DeSagana Diop,,29.0,10,CHA
8466,DeShawn Stevenson,,29.0,11,DAL
8467,Delonte West,,27.0,7,BOS
8468,Derek Fisher,,36.0,15,LAL
8469,Deron Williams,,26.0,6,TOT
8470,Deron Williams,,26.0,6,UTA
8471,Deron Williams,,26.0,6,NJN
8472,Derrick Brown,,23.0,2,TOT
8473,Derrick Brown,,23.0,2,CHA
8474,Derrick Brown,,23.0,2,NYK
8475,Derrick Caracter,,22.0,1,LAL
8476,Derrick Favors,,19.0,1,TOT
8477,Derrick Favors,,19.0,1,NJN
8478,Derrick Favors,,19.0,1,UTA
8479,Derrick Rose,,22.0,3,CHI
8480,Devin Ebanks,,21.0,1,LAL
8481,Devin Harris,,27.0,7,TOT
8482,Devin Harris,,27.0,7,NJN
8483,Devin Harris,,27.0,7,UTA
8484,Dexter Pittman,,22.0,1,MIA
8485,Dirk Nowitzki,,32.0,13,DAL
8486,Dominic McGuire,,25.0,4,CHA
8487,Dominique Jones,,22.0,1,DAL
8488,Donté Greene,,22.0,3,SAC
8489,Dorell Wright,,25.0,7,GSW
8490,Drew Gooden,,29.0,9,MIL
8491,Dwight Howard,,25.0,7,ORL
8492,Dwyane Wade,,29.0,8,MIA
8493,Earl Barron,,29.0,5,TOT
8494,Earl Barron,,29.0,5,PHO
8495,Earl Barron,,29.0,5,MIL
8496,Earl Barron,,29.0,5,POR
8497,Earl Boykins,,34.0,12,MIL
8498,Earl Clark,,23.0,2,TOT
8499,Earl Clark,,23.0,2,PHO
8500,Earl Clark,,23.0,2,ORL
8501,Earl Watson,,31.0,10,UTA
8502,Ed Davis,,21.0,1,TOR
8503,Eddie House,,32.0,11,MIA
8504,Eduardo Nájera,,34.0,11,CHA
8505,Ekpe Udoh,,23.0,1,GSW
8506,Elton Brand,,31.0,12,PHI
8507,Emeka Okafor,,28.0,7,NOH
8508,Eric Bledsoe,,21.0,1,LAC
8509,Eric Gordon,,22.0,3,LAC
8510,Eric Maynor,,23.0,2,OKC
8511,Erick Dampier,,35.0,15,MIA
8512,Ersan İlyasova,,23.0,3,MIL
8513,Etan Thomas,,32.0,9,ATL
8514,Eugene Jeter,,27.0,1,SAC
8515,Evan Turner,,22.0,1,PHI
8516,Fabricio Oberto,,35.0,6,POR
8517,Francisco Elson,,34.0,8,UTA
8518,Francisco García,,29.0,6,SAC
8519,Gani Lawal,,22.0,1,PHO
8520,Garret Siler,,24.0,1,PHO
8521,Garrett Temple,,24.0,2,TOT
8522,Garrett Temple,,24.0,2,SAS
8523,Garrett Temple,,24.0,2,MIL
8524,Garrett Temple,,24.0,2,CHA
8525,Gary Forbes,,25.0,1,DEN
8526,Gary Neal,,26.0,1,SAS
8527,George Hill,,24.0,3,SAS
8528,Gerald Henderson,1987.0,23.0,2,CHA
8529,Gerald Wallace,,28.0,10,TOT
8530,Gerald Wallace,,28.0,10,CHA
8531,Gerald Wallace,,28.0,10,POR
8532,Gilbert Arenas,,29.0,10,TOT
8533,Gilbert Arenas,,29.0,10,WAS
8534,Gilbert Arenas,,29.0,10,ORL
8535,Glen Davis,,25.0,4,BOS
8536,Goran Dragić,,24.0,3,TOT
8537,Goran Dragić,,24.0,3,PHO
8538,Goran Dragić,,24.0,3,HOU
8539,Gordon Hayward,,20.0,1,UTA
8540,Grant Hill,,38.0,16,PHO
8541,Greg Monroe,,20.0,1,DET
8542,Greivis Vásquez,,24.0,1,MEM
8543,Hakim Warrick,,28.0,6,PHO
8544,Hamady N'Diaye,,24.0,1,WAS
8545,Hamed Haddadi,,25.0,3,MEM
8546,Hasheem Thabeet,,23.0,2,TOT
8547,Hasheem Thabeet,,23.0,2,MEM
8548,Hasheem Thabeet,,23.0,2,HOU
8549,Hassan Whiteside,,21.0,1,SAC
8550,Hedo Türkoğlu,,31.0,11,TOT
8551,Hedo Türkoğlu,,31.0,11,PHO
8552,Hedo Türkoğlu,,31.0,11,ORL
8553,Henry Walker,,23.0,3,NYK
8554,Hilton Armstrong,,26.0,5,TOT
8555,Hilton Armstrong,,26.0,5,WAS
8556,Hilton Armstrong,,26.0,5,ATL
8557,Ian Mahinmi,,24.0,3,DAL
8558,Ike Diogu,,27.0,5,LAC
8559,Ime Udoka,,33.0,7,SAS
8560,Ish Smith,,22.0,1,TOT
8561,Ish Smith,,22.0,1,HOU
8562,Ish Smith,,22.0,1,MEM
8563,J.J. Barea,,26.0,5,DAL
8564,J.J. Hickson,,22.0,3,CLE
8565,J.J. Redick,,26.0,5,ORL
8566,J.R. Smith,,25.0,7,DEN
8567,JaVale McGee,,23.0,3,WAS
8568,Jamaal Magloire,,32.0,11,MIA
8569,Jamal Crawford,,30.0,11,ATL
8570,Jamario Moon,,30.0,4,TOT
8571,Jamario Moon,,30.0,4,CLE
8572,Jamario Moon,,30.0,4,LAC
8573,Jameer Nelson,,28.0,7,ORL
8574,James Anderson,,21.0,1,SAS
8575,James Harden,,21.0,2,OKC
8576,James Johnson,,23.0,2,TOT
8577,James Johnson,,23.0,2,CHI
8578,James Johnson,,23.0,2,TOR
8579,James Jones,,30.0,8,MIA
8580,James Posey,,34.0,12,IND
8581,Jared Dudley,,25.0,4,PHO
8582,Jared Jeffries,,29.0,9,TOT
8583,Jared Jeffries,,29.0,9,HOU
8584,Jared Jeffries,,29.0,9,NYK
8585,Jarrett Jack,,27.0,6,TOT
8586,Jarrett Jack,,27.0,6,TOR
8587,Jarrett Jack,,27.0,6,NOH
8588,Jarron Collins,,32.0,10,TOT
8589,Jarron Collins,,32.0,10,LAC
8590,Jarron Collins,,32.0,10,POR
8591,Jason Collins,,32.0,10,ATL
8592,Jason Kapono,,29.0,8,PHI
8593,Jason Kidd,,37.0,17,DAL
8594,Jason Maxiell,,27.0,6,DET
8595,Jason Richardson,,30.0,10,TOT
8596,Jason Richardson,,30.0,10,PHO
8597,Jason Richardson,,30.0,10,ORL
8598,Jason Smith,,24.0,3,NOH
8599,Jason Terry,,33.0,12,DAL
8600,Jason Thompson,,24.0,3,SAC
8601,Jason Williams,,35.0,12,TOT
8602,Jason Williams,,35.0,12,ORL
8603,Jason Williams,,35.0,12,MEM
8604,Jawad Williams,,27.0,3,CLE
8605,Jeff Adrien,,24.0,1,GSW
8606,Jeff Foster,,34.0,12,IND
8607,Jeff Green,,24.0,4,TOT
8608,Jeff Green,,24.0,4,OKC
8609,Jeff Green,,24.0,4,BOS
8610,Jeff Teague,,22.0,2,ATL
8611,Jeremy Evans,,23.0,1,UTA
8612,Jeremy Lin,,22.0,1,GSW
8613,Jermaine O'Neal,,32.0,15,BOS
8614,Jermaine Taylor,,24.0,2,TOT
8615,Jermaine Taylor,,24.0,2,HOU
8616,Jermaine Taylor,,24.0,2,SAC
8617,Jerry Stackhouse,,36.0,16,MIA
8618,Jerryd Bayless,,22.0,3,TOT
8619,Jerryd Bayless,,22.0,3,NOH
8620,Jerryd Bayless,,22.0,3,TOR
8621,Joakim Noah,,25.0,4,CHI
8622,Jodie Meeks,,23.0,2,PHI
8623,Joe Johnson,,29.0,10,ATL
8624,Joe Smith,,35.0,16,TOT
8625,Joe Smith,,35.0,16,NJN
8626,Joe Smith,,35.0,16,LAL
8627,Joel Anthony,,28.0,4,MIA
8628,Joel Przybilla,,31.0,11,TOT
8629,Joel Przybilla,,31.0,11,POR
8630,Joel Przybilla,,31.0,11,CHA
8631,Joey Dorsey,,27.0,3,TOR
8632,Joey Graham,,28.0,6,CLE
8633,Johan Petro,,25.0,6,NJN
8634,John Lucas III,,28.0,3,CHI
8635,John Salmons,,31.0,9,MIL
8636,John Wall,,20.0,1,WAS
8637,Jon Brockman,,23.0,2,MIL
8638,Jonny Flynn,,21.0,2,MIN
8639,Jordan Crawford,,22.0,1,TOT
8640,Jordan Crawford,,22.0,1,ATL
8641,Jordan Crawford,,22.0,1,WAS
8642,Jordan Farmar,,24.0,5,NJN
8643,Jordan Hill,,23.0,2,HOU
8644,Josh Childress,,27.0,5,PHO
8645,Josh Howard,,30.0,8,WAS
8646,Josh McRoberts,,23.0,4,IND
8647,Josh Powell,,28.0,6,ATL
8648,Josh Smith,,25.0,7,ATL
8649,José Calderón,,29.0,6,TOR
8650,Jrue Holiday,,20.0,2,PHI
8651,Julian Wright,,23.0,4,TOR
8652,Juwan Howard,,37.0,17,MIA
8653,Keith Bogans,,30.0,8,CHI
8654,Kendrick Perkins,,26.0,8,TOT
8655,Kendrick Perkins,,26.0,8,BOS
8656,Kendrick Perkins,,26.0,8,OKC
8657,Kenyon Martin,,33.0,11,DEN
8658,Kevin Durant,,22.0,4,OKC
8659,Kevin Garnett,,34.0,16,BOS
8660,Kevin Love,,22.0,3,MIN
8661,Kevin Martin,,27.0,7,HOU
8662,Kevin Séraphin,,21.0,1,WAS
8663,Keyon Dooling,,30.0,11,MIL
8664,Kirk Hinrich,,30.0,8,TOT
8665,Kirk Hinrich,,30.0,8,WAS
8666,Kirk Hinrich,,30.0,8,ATL
8667,Kobe Bryant,,32.0,15,LAL
8668,Kosta Koufos,,21.0,3,TOT
8669,Kosta Koufos,,21.0,3,MIN
8670,Kosta Koufos,,21.0,3,DEN
8671,Kris Humphries,,25.0,7,NJN
8672,Kurt Thomas,,38.0,16,CHI
8673,Kwame Brown,,28.0,10,CHA
8674,Kyle Korver,,29.0,8,CHI
8675,Kyle Lowry,,24.0,5,HOU
8676,Kyle Weaver,,24.0,3,UTA
8677,Kyrylo Fesenko,,24.0,4,UTA
8678,LaMarcus Aldridge,,25.0,5,POR
8679,Lamar Odom,,31.0,12,LAL
8680,Lance Stephenson,,20.0,1,IND
8681,Landry Fields,,22.0,1,NYK
8682,Larry Owens,,28.0,1,TOT
8683,Larry Owens,,28.0,1,SAS
8684,Larry Owens,,28.0,1,WAS
8685,Larry Sanders,,22.0,1,MIL
8686,Lazar Hayward,,24.0,1,MIN
8687,LeBron James,,26.0,8,MIA
8688,Leandro Barbosa,,28.0,8,TOR
8689,Leon Powe,,27.0,5,TOT
8690,Leon Powe,,27.0,5,CLE
8691,Leon Powe,,27.0,5,MEM
8692,Lester Hudson,,26.0,2,WAS
8693,Linas Kleiza,,26.0,5,TOR
8694,Lou Amundson,,28.0,5,GSW
8695,Lou Williams,,24.0,6,PHI
8696,Luc Mbah a Moute,,24.0,3,MIL
8697,Luis Scola,,30.0,4,HOU
8698,Luke Babbitt,,21.0,1,POR
8699,Luke Harangody,,23.0,1,TOT
8700,Luke Harangody,,23.0,1,BOS
8701,Luke Harangody,,23.0,1,CLE
8702,Luke Ridnour,,29.0,8,MIN
8703,Luke Walton,,30.0,8,LAL
8704,Luol Deng,,25.0,7,CHI
8705,Luther Head,,28.0,6,SAC
8706,Malik Allen,,32.0,10,ORL
8707,Manny Harris,,21.0,1,CLE
8708,Manu Ginóbili,,33.0,9,SAS
8709,Marc Gasol,,26.0,3,MEM
8710,Marcin Gortat,,26.0,4,TOT
8711,Marcin Gortat,,26.0,4,ORL
8712,Marcin Gortat,,26.0,4,PHO
8713,Marco Belinelli,,24.0,4,NOH
8714,Marcus Banks,,29.0,8,TOR
8715,Marcus Camby,,36.0,15,POR
8716,Marcus Cousin,,24.0,1,UTA
8717,Marcus Thornton,,23.0,2,TOT
8718,Marcus Thornton,,23.0,2,NOH
8719,Marcus Thornton,,23.0,2,SAC
8720,Mario Chalmers,,24.0,3,MIA
8721,Mario West,,26.0,4,NJN
8722,Marquis Daniels,,30.0,8,BOS
8723,Marreese Speights,,23.0,3,PHI
8724,Martell Webster,,24.0,6,MIN
8725,Marvin Williams,,24.0,6,ATL
8726,Matt Barnes,,30.0,8,LAL
8727,Matt Bonner,,30.0,7,SAS
8728,Matt Carroll,,30.0,8,CHA
8729,Maurice Ager,,26.0,4,MIN
8730,Maurice Evans,,32.0,8,TOT
8731,Maurice Evans,,32.0,8,ATL
8732,Maurice Evans,,32.0,8,WAS
8733,Mehmet Okur,,31.0,9,UTA
8734,Melvin Ely,,32.0,8,DEN
8735,Metta World Peace,,31.0,12,LAL
8736,Michael Beasley,,22.0,3,MIN
8737,Michael Redd,,31.0,11,MIL
8738,Mickaël Piétrus,,28.0,8,TOT
8739,Mickaël Piétrus,,28.0,8,ORL
8740,Mickaël Piétrus,,28.0,8,PHO
8741,Mike Bibby,,32.0,13,TOT
8742,Mike Bibby,,32.0,13,ATL
8743,Mike Bibby,,32.0,13,WAS
8744,Mike Bibby,,32.0,13,MIA
8745,Mike Conley,,23.0,4,MEM
8746,Mike Dunleavy,1980.0,30.0,9,IND
8747,Mike Harris,,27.0,3,HOU
8748,Mike Miller,,30.0,11,MIA
8749,Mo Williams,,28.0,8,TOT
8750,Mo Williams,,28.0,8,CLE
8751,Mo Williams,,28.0,8,LAC
8752,Monta Ellis,,25.0,6,GSW
8753,Morris Peterson,,33.0,11,OKC
8754,Mustafa Shakur,,26.0,1,WAS
8755,Nate Robinson,,26.0,6,TOT
8756,Nate Robinson,,26.0,6,BOS
8757,Nate Robinson,,26.0,6,OKC
8758,Nazr Mohammed,,33.0,13,TOT
8759,Nazr Mohammed,,33.0,13,CHA
8760,Nazr Mohammed,,33.0,13,OKC
8761,Nenad Krstić,,27.0,7,TOT
8762,Nenad Krstić,,27.0,7,OKC
8763,Nenad Krstić,,27.0,7,BOS
8764,Nenê,,28.0,9,DEN
8765,Nick Collison,,30.0,7,OKC
8766,Nick Young,,25.0,4,WAS
8767,Nicolas Batum,,22.0,3,POR
8768,Nikola Peković,,25.0,1,MIN
8769,O.J. Mayo,,23.0,3,MEM
8770,Omri Casspi,,22.0,2,SAC
8771,Orien Greene,,28.0,4,NJN
8772,Othyus Jeffers,,25.0,2,TOT
8773,Othyus Jeffers,,25.0,2,SAS
