,Player Name,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary
97,LaPhonso Ellis,ATL,30,203.2,108.86208,1999-00,
98,Lamar Odom,LAC,20,208.28,99.79024,1999-00,2445000.0
99,Lamond Murray,CLE,27,200.66,107.047712,1999-00,
100,Lari Ketner,CLE,23,208.28,129.27372,1999-00,
101,Laron Profit,WAS,22,195.58,92.532768,1999-00,
102,Larry Hughes,GSW,21,195.58,83.91452,1999-00,1722000.0
103,Larry Johnson,NYK,31,200.66,106.59412,1999-00,11910000.0
104,Latrell Sprewell,NYK,29,195.58,86.18248,1999-00,
105,Lawrence Funderburke,SAC,29,205.74,104.32616,1999-00,2400000.0
106,Kevin Johnson,PHX,34,185.42,86.18248,1999-00,
107,Kerry Kittles,NJN,26,195.58,81.64656,1999-00,7166000.0
108,Jermaine Jackson,DET,24,195.58,92.532768,1999-00,
109,Patrick Ewing,NYK,37,213.36,115.66596,1999-00,
110,Tony Battie,BOS,24,210.82,108.86208,1999-00,
111,Toni Kukoc,PHI,31,210.82,106.59412,1999-00,
112,Tom Hammonds,MIN,33,205.74,102.0582,1999-00,
113,Todd MacCulloch,PHI,24,213.36,127.00576,1999-00,
114,Todd Fuller,CHH,25,210.82,115.66596,1999-00,
115,Todd Day,PHX,30,198.12,85.275296,1999-00,
116,Toby Bailey,PHX,24,198.12,96.615096,1999-00,
117,Tim Young,GSW,24,218.44,122.46984,1999-00,
118,Tim Thomas,MIL,23,208.28,104.32616,1999-00,
119,Tim Legler,GSW,33,193.04,90.7184,1999-00,
120,Tim James,MIA,23,200.66,96.161504,1999-00,728000.0
121,Tim Hardaway,MIA,33,182.88,88.45044,1999-00,
122,Tim Duncan,SAS,24,213.36,117.93392,1999-00,
123,Thomas Hamilton,HOU,25,218.44,149.68536,1999-00,
124,Theo Ratliff,PHI,27,208.28,102.0582,1999-00,7031000.0
125,Terry Porter,SAS,37,190.5,92.98636,1999-00,2000000.0
126,Terry Mills,DET,32,208.28,113.398,1999-00,
127,Terry Cummings,GSW,39,205.74,99.79024,1999-00,
128,Terrell Brandon,MIN,30,180.34,78.471416,1999-00,7400000.0
129,Tariq Abdul-Wahad,DEN,25,198.12,101.151016,1999-00,
130,Steven Smith,POR,31,203.2,97.52228,1999-00,
131,Steve Nash,DAL,26,190.5,88.45044,1999-00,5500000.0
132,Steve Kerr,SAS,34,190.5,81.64656,1999-00,1968000.0
133,Steve Francis,HOU,23,190.5,87.543256,1999-00,3020000.0
134,Stephon Marbury,NJN,23,187.96,81.64656,1999-00,9000000.0
135,Stanley Roberts,PHI,30,213.36,131.54168,1999-00,
136,Stacey Augmon,POR,31,203.2,92.98636,1999-00,
137,Tony Delk,SAC,26,187.96,87.089664,1999-00,
138,Sherman Douglas,NJN,33,185.42,88.45044,1999-00,
139,Tony Farmer,GSW,30,205.74,110.676448,1999-00,
140,Tracy McGrady,TOR,21,203.2,95.25432,1999-00,
141,Jeff Foster,IND,23,210.82,107.954896,1999-00,857000.0
142,Zan Tabak,IND,30,213.36,111.13004,1999-00,
143,William Avery,MIN,20,187.96,81.64656,1999-00,
144,Will Perdue,CHI,34,213.36,108.86208,1999-00,
145,Wesley Person,CLE,29,198.12,88.45044,1999-00,4900000.0
146,Wayne Turner,BOS,24,187.96,86.18248,1999-00,
147,Walter McCarty,BOS,26,208.28,104.32616,1999-00,2500000.0
148,Walt Williams,HOU,30,203.2,104.32616,1999-00,3750000.0
149,Wally Szczerbiak,MIN,23,200.66,110.222856,1999-00,2011000.0
150,Voshon Lenard,MIA,27,193.04,97.52228,1999-00,
151,Vonteego Cummings,GSW,24,190.5,86.18248,1999-00,2600000.0
152,Vladimir Stepania,SEA,24,213.36,107.047712,1999-00,
153,Vlade Divac,SAC,32,215.9,117.93392,1999-00,8837000.0
154,Vitaly Potapenko,BOS,25,208.28,127.00576,1999-00,3810000.0
155,Vinny Del Negro,MIL,33,193.04,90.7184,1999-00,1925000.0
156,Vince Carter,TOR,23,200.66,97.52228,1999-00,2267000.0
157,Vin Baker,SEA,28,210.82,113.398,1999-00,
158,Vernon Maxwell,SEA,34,193.04,81.64656,1999-00,
159,Tyronn Lue,LAL,23,182.88,79.3786,1999-00,
160,Tyrone Nesby,LAC,24,198.12,102.0582,1999-00,2716000.0
161,Tyrone Hill,PHI,32,205.74,113.398,1999-00,6422000.0
162,Tyrone Corbin,SAC,37,198.12,102.0582,1999-00,
163,Troy Hudson,LAC,24,185.42,80.73937600000001,1999-00,
164,Travis Knight,LAL,25,213.36,106.59412,1999-00,2800000.0
165,Travis Best,IND,27,180.34,82.553744,1999-00,3250000.0
166,Trajan Langdon,CLE,24,190.5,88.45044,1999-00,1394000.0
167,Tracy Murray,WAS,28,200.66,103.418976,1999-00,2720000.0
168,Tony Massenburg,HOU,32,205.74,113.398,1999-00,
169,Shawn Marion,PHX,22,200.66,97.52228,1999-00,1546000.0
170,Shawn Kemp,CLE,30,208.28,127.00576,1999-00,10780000.0
171,Shawn Bradley,DAL,28,228.6,119.294696,1999-00,
172,Robert Pack,DAL,31,187.96,86.18248,1999-00,
