Player Name,Season,Salary
Derrick Coleman,2000-01,8000000.0
Glenn Robinson,2000-01,8120000.0
Steve Smith,2000-01,8100000.0
Kerry Kittles,2000-01,7770000.0
Chris Dudley,2000-01,6200000.0
Theo Ratliff,2000-01,7800000.0
Matt Geiger,2000-01,7515840.0
Jason Kidd,2000-01,7680000.0
Kenny Anderson,2000-01,7520000.0
Tyrone Hill,2000-01,7300000.0
Clifford Robinson,2000-01,6890000.0
Jamal Mashburn,2000-01,6200000.0
Steve Nash,2000-01,5500000.0
Alan Henderson,2000-01,5910000.0
Donyell Marshall,2000-01,5630000.0
Marcus Camby,2000-01,5750000.0
Greg Ostertag,2000-01,5200000.0
Luc Longley,2000-01,5750000.0
Jermaine O'Neal,2000-01,5710000.0
Erick Dampier,2000-01,5610000.0
Wesley Person,2000-01,5600000.0
Isaac Austin,2000-01,5500000.0
Loy Vaught,2000-01,4812025.0
Derrick McKey,2000-01,5400000.0
Robert Horry,2000-01,4800000.0
Jim McIlvaine,2000-01,5400000.0
Jerry Stackhouse,2000-01,5310000.0
Charlie Ward,2000-01,5040000.0
Dale Davis,2000-01,6000000.0
Lorenzen Wright,2000-01,4950000.0
Mookie Blaylock,2000-01,4800000.0
Chris Mills,2000-01,4800000.0
Chris Childs,2000-01,4680000.0
Darrell Armstrong,2000-01,3100000.0
Bryon Russell,2000-01,4570000.0
Brent Barry,2000-01,4320000.0
Jason Caffey,2000-01,4380000.0
Vitaly Potapenko,2000-01,4290000.0
Bob Sura,2000-01,4390000.0
Walt Williams,2000-01,4250000.0
Scott Williams,2000-01,4200000.0
Sam Cassell,2000-01,4000000.0
Michael Olowokandi,2000-01,3697440.0
Elton Brand,2000-01,3629160.0
Eric Williams,2000-01,3890000.0
Travis Best,2000-01,3500000.0
Michael Stewart,2000-01,3520000.0
Derek Strong,2000-01,3510000.0
Mike Bibby,2000-01,3308160.0
Rick Fox,2000-01,3400000.0
Steve Francis,2000-01,3246960.0
Derek Fisher,2000-01,3380000.0
Eric Snow,2000-01,3380000.0
Ervin Johnson,2000-01,2700000.0
Brent Price,2000-01,2880000.0
Travis Knight,2000-01,3200000.0
Raef LaFrentz,2000-01,2970840.0
Tracy Murray,2000-01,3060000.0
Tyrone Nesby,2000-01,2990000.0
Baron Davis,2000-01,2916000.0
Vonteego Cummings,2000-01,757200.0
David Wesley,2000-01,2880000.0
Dean Garrett,2000-01,2880000.0
Antawn Jamison,2000-01,2678400.0
Walter McCarty,2000-01,2670000.0
Anthony Peeler,2000-01,2740000.0
Lamar Odom,2000-01,2628960.0
Lawrence Funderburke,2000-01,2700000.0
Lindsey Hunter,2000-01,2650000.0
Malik Rose,2000-01,2570000.0
Vince Carter,2000-01,2425440.0
Jonathan Bender,2000-01,2380680.0
Dell Curry,2000-01,2000000.0
Robert Traylor,2000-01,2203080.0
Othella Harrington,2000-01,2250000.0
Wally Szczerbiak,2000-01,2162280.0
Terry Porter,2000-01,2200000.0
Rodney Rogers,2000-01,2200000.0
Jamie Feick,2000-01,2200000.0
Eric Montross,2000-01,2240000.0
Chris Crawford,2000-01,2200000.0
Steve Kerr,2000-01,2200000.0
Vinny Del Negro,2000-01,2100000.0
Sean Rooks,2000-01,2160000.0
Lucious Harris,2000-01,2160000.0
Jason Williams,2000-01,2011080.0
Richard Hamilton,2000-01,1973880.0
Larry Hughes,2000-01,1842480.0
Andre Miller,2000-01,1808400.0
Dirk Nowitzki,2000-01,1693560.0
Shawn Marion,2000-01,1662240.0
Paul Pierce,2000-01,1608840.0
Jason Terry,2000-01,1579080.0
Bonzi Wells,2000-01,1528440.0
Trajan Langdon,2000-01,1500120.0
Aleksandar Radojevic,2000-01,1425120.0
Keon Clark,2000-01,1379400.0
Corey Maggette,2000-01,1353960.0
Michael Dickerson,2000-01,1310400.0
Matt Harpring,2000-01,1244880.0
Eldridge Recasner,2000-01,1200000.0
Metta World Peace,2000-01,1160760.0
Cal Bowdler,2000-01,1102800.0
James Posey,2000-01,1047600.0
Pat Garrity,2000-01,1019280.0
Quincy Lewis,2000-01,1000440.0
Roshown McLeod,2000-01,978600.0
Dion Glover,2000-01,960480.0
Ricky Davis,2000-01,939360.0
Greg Foster,2000-01,1760000.0
Jeff Foster,2000-01,922080.0
Brian Skinner,2000-01,901800.0
Kenny Thomas,2000-01,885120.0
Devean George,2000-01,849720.0
Al Harrington,2000-01,797880.0
Tim James,2000-01,783120.0
Jumaine Jones,2000-01,735600.0
Scott Padgett,2000-01,730800.0
Rafer Alston,2000-01,423500.0
Hakeem Olajuwon,2000-01,16700000.0
David Robinson,2000-01,14700000.0
Dikembe Mutombo,2000-01,14400000.0
Patrick Ewing,2000-01,14000000.0
Jayson Williams,2000-01,13800000.0
Tim Hardaway,2000-01,12000000.0
Chris Webber,2000-01,12000000.0
Arvydas Sabonis,2000-01,11250000.0
John Stockton,2000-01,11000000.0
Reggie Miller,2000-01,10670000.0
Zydrunas Ilgauskas,2000-01,10130000.0
Kobe Bryant,2000-01,10130000.0
Shareef Abdur-Rahim,2000-01,10130000.0
Vin Baker,2000-01,10130000.0
Allen Iverson,2000-01,10130000.0
Anfernee Hardaway,2000-01,10130000.0
Latrell Sprewell,2000-01,10125000.0
Mitch Richmond,2000-01,10000000.0
Rod Strickland,2000-01,10000000.0
Jalen Rose,2000-01,9660000.0
Grant Hill,2000-01,9660000.0
Tracy McGrady,2000-01,9660000.0
Tim Duncan,2000-01,9660000.0
Keith Van Horn,2000-01,9000000.0
Allan Houston,2000-01,9000000.0
Eddie Jones,2000-01,8960000.0
Brian Grant,2000-01,8900000.0
Tim Thomas,2000-01,8510000.0
Michael Finley,2000-01,8400000.0
Shawn Bradley,2000-01,8370000.0
Danny Manning,2000-01,8030000.0
Avery Johnson,2000-01,8000000.0
Glen Rice,2000-01,7578900.0
Kendall Gill,2000-01,7000000.0
Christian Laettner,2000-01,6625000.0
Horace Grant,2000-01,6500000.0
Toni Kukoc,2000-01,6000000.0
Bryant Stith,2000-01,5920000.0
Charles Oakley,2000-01,5760000.0
PJ Brown,2000-01,5740000.0
Chris Gatling,2000-01,5550000.0
Anthony Mason,2000-01,5550000.0
Ron Mercer,2000-01,5520000.0
Antonio Davis,2000-01,5500000.0
Kelvin Cato,2000-01,5330000.0
Austin Croshere,2000-01,5300000.0
Sean Elliott,2000-01,5300000.0
Hersey Hawkins,2000-01,4760000.0
Chris Mullin,2000-01,4650000.0
Bobby Phills,2000-01,4640000.0
Tariq Abdul-Wahad,2000-01,4500000.0
Bo Outlaw,2000-01,4500000.0
Robert Pack,2000-01,4320000.0
Brevin Knight,2000-01,4250000.0
Howard Eisley,2000-01,4250000.0
Dan Majerle,2000-01,4050000.0
Brad Miller,2000-01,4000000.0
Ben Wallace,2000-01,4000000.0
Duane Causwell,2000-01,4000000.0
Danny Fortson,2000-01,3950000.0
Corliss Williamson,2000-01,3940000.0
Cedric Ceballos,2000-01,3937500.0
Jahidi White,2000-01,3922000.0
Cuttino Mobley,2000-01,3920000.0
Rashard Lewis,2000-01,3920000.0
Scot Pollard,2000-01,3920000.0
Voshon Lenard,2000-01,3780000.0
Nick Anderson,2000-01,3750000.0
Dana Barros,2000-01,3700000.0
Doug West,2000-01,3680000.0
Kurt Thomas,2000-01,3680000.0
Adonal Foyle,2000-01,3580000.0
Mark Jackson,2000-01,3570000.0
Kenyon Martin,2000-01,3536640.0
Rex Chapman,2000-01,3500000.0
Greg Anthony,2000-01,3500000.0
Adam Keefe,2000-01,3390000.0
Lamond Murray,2000-01,3380000.0
Jud Buechler,2000-01,3260000.0
Greg Minor,2000-01,3240000.0
Tony Battie,2000-01,3200000.0
Don MacLean,2000-01,3178500.0
Stromile Swift,2000-01,3164280.0
Doug Christie,2000-01,3140000.0
Mark Bryant,2000-01,3029268.0
Chucky Atkins,2000-01,3000000.0
Samaki Walker,2000-01,2960000.0
Jerome Williams,2000-01,2870000.0
Kevin Willis,2000-01,2870000.0
Mikki Moore,2000-01,2850000.0
Darius Miles,2000-01,2841720.0
Antonio Daniels,2000-01,2820000.0
Popeye Jones,2000-01,2812500.0
Jon Barry,2000-01,2730000.0
Cedric Henderson,2000-01,2700000.0
Vernon Maxwell,2000-01,2570000.0
Marcus Fizer,2000-01,2562000.0
Erick Strickland,2000-01,2560000.0
Dragan Tarlac,2000-01,2500000.0
Matt Maloney,2000-01,2401000.0
Gary Trent,2000-01,2400000.0
Terry Mills,2000-01,2400000.0
Mark Strickland,2000-01,2400000.0
Sam Mitchell,2000-01,2370000.0
Chris Whitney,2000-01,2370000.0
Jim Jackson,2000-01,2330000.0
Mike Miller,2000-01,2320080.0
Dale Ellis,2000-01,2290000.0
Randy Brown,2000-01,2250000.0
Aaron Williams,2000-01,2250000.0
Bimbo Coles,2000-01,2250000.0
Joe Smith,2000-01,2250000.0
Maurice Taylor,2000-01,2250000.0
Sam Perkins,2000-01,2250000.0
Brian Shaw,2000-01,2250000.0
A.C. Green,2000-01,2250000.0
Chauncey Billups,2000-01,2250000.0
Tony Delk,2000-01,2250000.0
Will Perdue,2000-01,2250000.0
Bobby Jackson,2000-01,2250000.0
Derek Anderson,2000-01,2250000.0
John Starks,2000-01,2250000.0
Otis Thorpe,2000-01,2200000.0
J.R. Reid,2000-01,2200000.0
Calbert Cheaney,2000-01,2200000.0
George McCloud,2000-01,2200000.0
John Wallace,2000-01,2200000.0
Michael Curry,2000-01,2200000.0
Terry Cummings,2000-01,2200000.0
