,pick_overall,Year,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
robinth01,5,2012,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
lillada01,6,2012,POR,Damian Lillard,Weber State,8,615,22381,14887,2573,4009,.437,.373,.889,36.4,24.2,4.2,6.5,81.9,.176,4.7,37.8
barneha02,7,2012,GSW,Harrison Barnes,UNC,8,612,19074,8368,3000,989,.448,.375,.796,31.2,13.7,4.9,1.6,34.3,.086,-1.0,4.5
rosste01,8,2012,TOR,Terrence Ross,Washington,8,561,13831,6179,1588,617,.420,.370,.828,24.7,11.0,2.8,1.1,22.2,.077,-0.5,5.2
drumman01,9,2012,DET,Andre Drummond,UConn,8,599,18590,8671,8288,778,.542,.146,.461,31.0,14.5,13.8,1.3,60.6,.156,1.5,16.3
riverau01,10,2012,NOH,Austin Rivers,Duke,8,552,13517,5053,1163,1267,.418,.348,.644,24.5,9.2,2.1,2.3,11.5,.041,-3.1,-3.6
leoname01,11,2012,POR,Meyers Leonard,Illinois,8,444,7129,2492,1730,393,.482,.390,.811,16.1,5.6,3.9,0.9,15.5,.104,-1.4,1.1
lambje01,12,2012,HOU,Jeremy Lamb,UConn,8,481,10196,5032,1788,770,.444,.339,.851,21.2,10.5,3.7,1.6,23.4,.110,0.7,7.0
marshke01,13,2012,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
hensojo01,14,2012,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.4,3.4
bennean01,1,2013,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
oladivi01,2,2013,ORL,Victor Oladipo,Indiana,7,421,13888,7303,1934,1645,.441,.350,.794,33.0,17.3,4.6,3.9,24.3,.084,1.1,10.8
porteot01,3,2013,WAS,Otto Porter,Georgetown,7,413,11078,4550,2037,618,.482,.404,.789,26.8,11.0,4.9,1.5,29.9,.129,1.7,10.4
zelleco01,4,2013,CHA,Cody Zeller,Indiana,7,419,9613,3611,2496,583,.513,.248,.731,22.9,8.6,6.0,1.4,27.7,.138,-0.5,3.7
lenal01,5,2013,PHO,Alex Len,Maryland,7,467,9170,3713,2920,395,.495,.333,.690,19.6,8.0,6.3,0.8,18.0,.094,-2.0,-0.1
noelne01,6,2013,NOH,Nerlens Noel,Kentucky,6,361,7977,2894,2240,422,.543,.286,.648,22.1,8.0,6.2,1.2,21.6,.130,0.9,5.9
mclembe01,7,2013,SAC,Ben McLemore,Kansas,7,439,10344,3954,1066,465,.421,.366,.779,23.6,9.0,2.4,1.1,8.0,.037,-3.0,-2.5
caldwke01,8,2013,DET,Kentavious Caldwell-Pope,Georgia,7,539,15743,6240,1708,878,.418,.349,.797,29.2,11.6,3.2,1.6,27.6,.084,-0.7,5.0
burketr01,9,2013,MIN,Trey Burke,Michigan,7,394,9049,4167,791,1384,.410,.345,.800,23.0,10.6,2.0,3.5,11.6,.061,-1.1,2.0
mccolcj01,10,2013,POR,CJ McCollum,Lehigh,7,481,14879,8884,1587,1506,.454,.397,.827,30.9,18.5,3.3,3.1,32.0,.103,1.0,11.1
cartemi01,11,2013,PHI,Michael Carter-Williams,Syracuse,7,360,9098,3749,1574,1572,.402,.256,.713,25.3,10.4,4.4,4.4,7.1,.037,-0.9,2.5
adamsst01,12,2013,OKC,Steven Adams,Pitt,7,530,14207,5191,4029,615,.589,.100,.557,26.8,9.8,7.6,1.2,45.2,.153,0.4,8.6
olynyke01,13,2013,DAL,Kelly Olynyk,Gonzaga,7,500,10647,4836,2421,934,.476,.373,.775,21.3,9.7,4.8,1.9,28.6,.129,0.8,7.5
muhamsh01,14,2013,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
wiggian01,1,2014,CLE,Andrew Wiggins,Kansas,6,454,16242,8943,1977,1065,.441,.332,.732,35.8,19.7,4.4,2.3,15.0,.044,-1.9,0.2
parkeja01,2,2014,MIL,Jabari Parker,Duke,6,285,8258,4255,1633,593,.493,.324,.740,29.0,14.9,5.7,2.1,13.2,.077,-0.8,2.4
embiijo01,3,2014,PHI,Joel Embiid,Kansas,4,209,6358,5005,2397,651,.480,.319,.793,30.4,23.9,11.5,3.1,22.8,.172,4.3,10.1
gordoaa01,4,2014,ORL,Aaron Gordon,Arizona,6,403,11517,5143,2587,964,.448,.319,.701,28.6,12.8,6.4,2.4,21.7,.090,0.0,5.7
exumda01,5,2014,UTA,Dante Exum,,5,239,4429,1366,424,502,.407,.308,.766,18.5,5.7,1.8,2.1,3.1,.034,-3.3,-1.5
smartma01,6,2014,BOS,Marcus Smart,Oklahoma State,6,401,11607,3950,1430,1628,.373,.318,.775,28.9,9.9,3.6,4.1,20.7,.086,-0.3,5.0
randlju01,7,2014,LAL,Julius Randle,Kentucky,6,375,10934,6032,3375,1045,.493,.295,.724,29.2,16.1,9.0,2.8,20.5,.090,-0.5,4.1
stausni01,8,2014,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,.389,.353,.814,19.9,6.8,2.1,1.5,3.8,.028,-3.0,-1.7
vonleno01,9,2014,CHH,Noah Vonleh,Indiana,6,335,5672,1660,1741,256,.460,.310,.691,16.9,5.0,5.2,0.8,9.3,.079,-2.4,-0.5
paytoel01,10,2014,PHI,Elfrid Payton,LA-Lafayette,6,387,11350,4247,1703,2566,.452,.289,.625,29.3,11.0,4.4,6.6,14.9,.063,-0.5,4.3
mcderdo01,11,2014,DEN,Doug McDermott,Creighton,6,410,8170,3369,900,347,.465,.412,.825,19.9,8.2,2.2,0.8,13.9,.082,-2.0,-0.1
saricda01,12,2014,ORL,Dario Šarić,,4,306,8094,3743,1896,634,.441,.358,.837,26.5,12.2,6.2,2.1,14.7,.087,-0.7,2.6
lavinza01,13,2014,MIN,Zach LaVine,UCLA,6,353,10857,6240,1279,1275,.447,.375,.819,30.8,17.7,3.6,3.6,12.0,.053,-0.6,3.8
warretj01,14,2014,PHO,T.J. Warren,NC State,6,328,9436,5080,1358,392,.507,.361,.779,28.8,15.5,4.1,1.2,19.5,.099,-0.2,4.3
townska01,1,2015,MIN,Karl-Anthony Towns,Kentucky,5,358,12307,8113,4209,992,.534,.396,.831,34.4,22.7,11.8,2.8,50.4,.197,4.8,21.1
russeda01,2,2015,LAL,D'Angelo Russell,Ohio State,5,317,9204,5532,1176,1666,.420,.356,.772,29.0,17.5,3.7,5.3,8.4,.044,0.3,5.5
okafoja01,3,2015,PHI,Jahlil Okafor,Duke,5,220,4480,2421,1103,212,.538,.222,.675,20.4,11.0,5.0,1.0,6.6,.070,-1.9,0.1
porzikr01,4,2015,NYK,Kristaps Porziņģis,,4,243,7578,4476,1857,350,.434,.358,.803,31.2,18.4,7.6,1.4,17.3,.109,1.2,6.0
hezonma01,5,2015,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
caulewi01,6,2015,SAC,Willie Cauley-Stein,Kentucky,5,349,8187,3361,2194,553,.539,.211,.611,23.5,9.6,6.3,1.6,20.3,.119,0.1,4.3
mudiaem01,7,2015,DEN,Emmanuel Mudiay,,5,300,7176,3296,884,1139,.401,.323,.744,23.9,11.0,2.9,3.8,-0.2,-.001,-3.2,-2.2
johnsst04,8,2015,DET,Stanley Johnson,Arizona,5,310,6310,2045,1001,443,.374,.293,.755,20.4,6.6,3.2,1.4,3.4,.026,-2.9,-1.4
kaminfr01,9,2015,CHO,Frank Kaminsky,Wisconsin,5,321,7029,3136,1298,527,.422,.347,.750,21.9,9.8,4.0,1.6,12.4,.085,-0.6,2.5
winslju01,10,2015,MIA,Justise Winslow,Duke,5,241,6848,2181,1295,657,.417,.337,.646,28.4,9.0,5.4,2.7,7.7,.054,-1.8,0.3
turnemy01,11,2015,IND,Myles Turner,Texas,5,342,9689,4353,2276,421,.488,.357,.768,28.3,12.7,6.7,1.2,26.4,.131,0.6,6.3
lylestr01,12,2015,UTA,Trey Lyles,Kentucky,5,351,6322,2602,1488,375,.433,.341,.708,18.0,7.4,4.2,1.1,10.3,.078,-1.2,1.3
bookede01,13,2015,PHO,Devin Booker,Kentucky,5,342,11457,7683,1242,1610,.448,.354,.871,33.5,22.5,3.6,4.7,17.3,.073,-0.2,5.3
payneca01,14,2015,OKC,Cameron Payne,Murray State,5,161,2637,1001,305,406,.403,.344,.781,16.4,6.2,1.9,2.5,2.7,.049,-2.0,0.0
simmobe01,1,2016,PHI,Ben Simmons,LSU,3,217,7449,3553,1800,1726,.560,.083,.593,34.3,16.4,8.3,8.0,24.4,.157,3.9,11.2
ingrabr01,2,2016,LAL,Brandon Ingram,Duke,4,252,8118,4116,1277,809,.459,.360,.722,32.2,16.3,5.1,3.2,9.6,.057,-1.4,1.1
brownja02,3,2016,BOS,Jaylen Brown,California,4,279,7340,3655,1243,396,.468,.371,.678,26.3,13.1,4.5,1.4,13.9,.091,-1.2,1.6
bendedr01,4,2016,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-4.0,-1.9
dunnkr01,5,2016,MIN,Kris Dunn,Providence,4,227,5516,1884,760,948,.422,.306,.726,24.3,8.3,3.3,4.2,3.9,.034,-1.8,0.2
hieldbu01,6,2016,NOP,Buddy Hield,Oklahoma,4,316,8743,5022,1316,694,.441,.411,.866,27.7,15.9,4.2,2.2,13.0,.071,0.7,5.9
murraja01,7,2016,DEN,Jamal Murray,Kentucky,4,297,8680,4621,1064,1091,.439,.358,.880,29.2,15.6,3.6,3.7,16.2,.090,-0.1,4.3
chrisma01,8,2016,SAC,Marquese Chriss,Washington,4,256,4965,2039,1250,279,.456,.290,.669,19.4,8.0,4.9,1.1,5.7,.055,-2.3,-0.3
poeltja01,9,2016,TOR,Jakob Pöltl,Utah,4,279,4594,1527,1343,278,.638,.500,.536,16.5,5.5,4.8,1.0,16.3,.170,0.9,3.4
makerth01,10,2016,MIL,Thon Maker,,4,255,3548,1186,708,157,.433,.329,.673,13.9,4.7,2.8,0.6,6.3,.086,-2.2,-0.2
sabondo01,11,2016,ORL,Domantas Sabonis,Gonzaga,4,291,7439,3530,2321,755,.522,.321,.722,25.6,12.1,8.0,2.6,20.6,.133,0.5,4.6
princta02,12,2016,UTA,Taurean Waller-Prince,Baylor,4,260,6854,3008,1126,503,.412,.366,.818,26.4,11.6,4.3,1.9,5.1,.036,-1.9,0.2
papagge01,13,2016,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
valende01,14,2016,CHI,Denzel Valentine,Michigan State,3,170,3559,1320,618,350,.401,.366,.753,20.9,7.8,3.6,2.1,3.6,.048,-1.6,0.4
fultzma01,1,2017,PHI,Markelle Fultz,Washington,3,105,2676,1125,351,481,.452,.267,.677,25.5,10.7,3.3,4.6,3.2,.058,-2.1,0.0
balllo01,2,2017,LAL,Lonzo Ball,UCLA,3,162,5228,1738,994,1069,.390,.341,.487,32.3,10.7,6.1,6.6,6.0,.055,0.5,3.3
tatumja01,3,2017,BOS,Jayson Tatum,Duke,3,225,7158,3902,1339,496,.457,.401,.829,31.8,17.3,6.0,2.2,18.9,.127,1.6,6.5
jacksjo02,4,2017,PHO,Josh Jackson,Kansas,3,178,4328,2120,764,337,.417,.298,.655,24.3,11.9,4.3,1.9,-1.8,-.020,-4.0,-2.2
foxde01,5,2017,SAC,De'Aaron Fox,Kentucky,3,205,6206,3320,704,1258,.451,.328,.718,30.3,16.2,3.4,6.1,9.1,.070,-0.3,2.7
isaacjo01,6,2017,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
markkla01,7,2017,MIN,Lauri Markkanen,Arizona,3,170,5194,2744,1291,228,.430,.356,.848,30.6,16.1,7.6,1.3,8.7,.080,-0.3,2.2
ntilila01,8,2017,NYK,Frank Ntilikina,,3,178,3797,1066,385,543,.366,.311,.783,21.3,6.0,2.2,3.1,-0.8,-.011,-4.7,-2.5
smithde03,9,2017,DAL,Dennis Smith,NC State,3,156,4094,1957,493,708,.400,.314,.647,26.2,12.5,3.2,4.5,-1.6,-.018,-2.7,-0.7
colliza01,10,2017,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
monkma01,11,2017,CHO,Malik Monk,Kentucky,3,191,3281,1638,360,322,.395,.322,.850,17.2,8.6,1.9,1.7,1.0,.015,-2.9,-0.7
kennalu01,12,2017,DET,Luke Kennard,Duke,3,164,3822,1613,457,353,.441,.402,.863,23.3,9.8,2.8,2.2,7.0,.088,-0.8,1.2
mitchdo01,13,2017,DEN,Donovan Mitchell,Louisville,3,225,7600,5100,916,907,.439,.355,.824,33.8,22.7,4.1,4.0,15.7,.099,1.5,6.7
adebaba01,14,2017,MIA,Bam Adebayo,Kentucky,3,223,5698,2352,1713,653,.553,.139,.710,25.6,10.5,7.7,2.9,19.5,.164,2.0,5.7
aytonde01,1,2018,PHO,Deandre Ayton,Arizona,2,109,3419,1849,1165,197,.570,.176,.748,31.4,17.0,10.7,1.8,9.0,.126,0.3,2.0
baglema01,2,2018,SAC,Marvin Bagley,Duke,2,75,1901,1108,568,72,.497,.288,.703,25.3,14.8,7.6,1.0,4.0,.100,-1.4,0.3
doncilu01,3,2018,ATL,Luka Dončić,,2,133,4365,3285,1136,967,.445,.321,.737,32.8,24.7,8.5,7.3,13.7,.151,6.0,8.8
jacksja02,4,2018,MEM,Jaren Jackson,Michigan State,2,115,3137,1788,534,142,.485,.384,.757,27.3,15.5,4.6,1.2,6.8,.104,0.1,1.7
youngtr01,5,2018,DAL,Trae Young,Oklahoma,2,141,4623,3327,556,1213,.428,.344,.847,32.8,23.6,3.9,8.6,9.1,.095,1.5,4.0
bambamo01,6,2018,ORL,Mohamed Bamba,Texas,2,109,1644,624,535,81,.471,.328,.624,15.1,5.7,4.9,0.7,4.2,.121,-0.4,0.7
cartewe01,7,2018,CHI,Wendell Carter,Duke,2,87,2366,939,712,129,.508,.197,.761,27.2,10.8,8.2,1.5,5.2,.105,-2.0,0.0
sextoco01,8,2018,CLE,Collin Sexton,Alabama,2,147,4748,2720,440,435,.450,.392,.843,32.3,18.5,3.0,3.0,1.9,.019,-3.4,-1.7
knoxke01,9,2018,NYK,Kevin Knox,Kentucky,2,140,3324,1382,519,143,.367,.337,.697,23.7,9.9,3.7,1.0,-1.2,-.017,-5.2,-2.7
bridgmi01,10,2018,PHI,Mikal Bridges,Villanova,2,155,4459,1351,556,302,.467,.345,.825,28.8,8.7,3.6,1.9,7.7,.083,-0.5,1.7
gilgesh01,11,2018,CHO,Shai Gilgeous-Alexander,Kentucky,2,152,4602,2220,644,502,.473,.354,.804,30.3,14.6,4.2,3.3,9.5,.099,0.7,3.1
bridgmi02,12,2018,LAC,Miles Bridges,Michigan State,2,145,3691,1440,685,209,.440,.328,.788,25.5,9.9,4.7,1.4,4.5,.059,-1.7,0.3
robinje01,13,2018,LAC,Jerome Robinson,Boston College,2,96,1299,431,170,106,.379,.319,.697,13.5,4.5,1.8,1.1,0.3,.010,-4.1,-0.7
portemi01,14,2018,DEN,Michael Porter,Missouri,1,55,903,512,259,46,.509,.422,.833,16.4,9.3,4.7,0.8,2.9,.154,1.5,0.8
willizi01,1,2019,NOP,Zion Williamson,Duke,1,24,668,540,150,50,.583,.429,.640,27.8,22.5,6.3,2.1,2.0,.141,2.1,0.7
moranja01,2,2019,MEM,Ja Morant,Murray State,1,67,2074,1193,259,488,.477,.335,.776,31.0,17.8,3.9,7.3,3.8,.088,0.3,1.2
barrerj01,3,2019,NYK,RJ Barrett,Duke,1,56,1704,803,279,143,.402,.320,.614,30.4,14.3,5.0,2.6,-0.5,-.015,-4.3,-1.0
huntede01,4,2019,LAL,De'Andre Hunter,Virginia,1,63,2018,778,286,112,.410,.355,.764,32.0,12.3,4.5,1.8,0.1,.002,-4.7,-1.4
garlada01,5,2019,CLE,Darius Garland,Vanderbilt,1,59,1824,728,111,229,.401,.355,.875,30.9,12.3,1.9,3.9,-1.3,-.034,-5.6,-1.7
culveja01,6,2019,PHO,Jarrett Culver,Texas Tech,1,63,1506,580,212,110,.404,.299,.462,23.9,9.2,3.4,1.7,-0.1,-.004,-4.0,-0.8
whiteco01,7,2019,CHI,Coby White,UNC,1,65,1674,859,230,175,.394,.354,.791,25.8,13.2,3.5,2.7,0.9,.026,-2.8,-0.4
hayesja02,8,2019,ATL,Jaxson Hayes,Texas,1,64,1080,472,259,56,.672,.250,.647,16.9,7.4,4.0,0.9,3.9,.171,-0.3,0.5
hachiru01,9,2019,WAS,Rui Hachimura,Gonzaga,1,48,1444,649,294,87,.466,.287,.829,30.1,13.5,6.1,1.8,1.8,.060,-3.2,-0.4
reddica01,10,2019,ATL,Cam Reddish,Duke,1,58,1551,610,216,87,.384,.332,.802,26.7,10.5,3.7,1.5,-0.4,-.011,-4.2,-0.9
johnsca02,11,2019,MIN,Cameron Johnson,UNC,1,57,1255,504,187,69,.435,.390,.807,22.0,8.8,3.3,1.2,2.7,.102,0.3,0.7
washipj01,12,2019,CHO,PJ Washington,Kentucky,1,58,1759,710,316,123,.455,.374,.647,30.3,12.2,5.4,2.1,2.0,.054,-1.6,0.2
herroty01,13,2019,MIA,Tyler Herro,Kentucky,1,55,1508,743,224,121,.428,.389,.870,27.4,13.5,4.1,2.2,1.6,.050,-1.6,0.1
langfro01,14,2019,BOS,Romeo Langford,Indiana,1,32,370,79,41,13,.350,.185,.720,11.6,2.5,1.3,0.4,0.2,.025,-4.9,-0.3
edwaran01,1,2020,MIN,Anthony Edwards,Georgia,,,,,,,,,,,,,,,,,
wisemja01,2,2020,GSW,James Wiseman,Memphis,,,,,,,,,,,,,,,,,
ballla01,3,2020,CHO,LaMelo Ball,,,,,,,,,,,,,,,,,,
willipa01,4,2020,CHI,Patrick Williams,Florida State,,,,,,,,,,,,,,,,,
okorois01,5,2020,CLE,Isaac Okoro,Auburn,,,,,,,,,,,,,,,,,
okongon01,6,2020,ATL,Onyeka Okongwu,USC,,,,,,,,,,,,,,,,,
hayeski01,7,2020,DET,Killian Hayes,,,,,,,,,,,,,,,,,,
toppiob01,8,2020,NYK,Obi Toppin,Dayton,,,,,,,,,,,,,,,,,
avdijde01,9,2020,WAS,Deni Avdija,,,,,,,,,,,,,,,,,,
smithja04,10,2020,PHO,Jalen Smith,Maryland,,,,,,,,,,,,,,,,,
vassede01,11,2020,SAS,Devin Vassell,Florida State,,,,,,,,,,,,,,,,,
halibty01,12,2020,SAC,Tyrese Haliburton,Iowa State,,,,,,,,,,,,,,,,,
lewiski01,13,2020,NOP,Kira Lewis,Alabama,,,,,,,,,,,,,,,,,
nesmiaa01,14,2020,BOS,Aaron Nesmith,Vanderbilt,,,,,,,,,,,,,,,,,
