,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
barryjo01MIL,Jon Barry,1995,SG,25,MIL,52,602,12.6,.564,.358,.597,2.9,7.0,4.9,21.2,2.6,0.5,19.5,15.5,,0.7,0.4,1.1,.084,,-1.1,0.6,-0.6,0.2
battljo01CLE,John Battle,1995,SG,32,CLE,28,280,10.8,.462,.272,.228,1.3,3.7,2.5,24.6,1.6,0.3,11.9,24.4,,0.0,0.3,0.2,.038,,-2.3,-1.1,-3.4,-0.1
bazarse01ATL,Sergei Bazarevich,1995,PG,29,ATL,10,74,13.6,.578,.273,.409,1.5,9.7,5.5,31.4,0.7,1.0,21.2,20.2,,0.1,0.1,0.2,.101,,-1.3,-0.3,-1.6,0.0
benjabe01NJN,Benoit Benjamin,1995,C,30,NJN,61,1598,13.9,.555,.000,.330,6.4,23.7,15.1,4.2,0.7,2.8,17.1,20.1,,0.1,2.1,2.2,.066,,-2.6,-0.2,-2.8,-0.3
benneel01CLE,Elmer Bennett,1995,PG,24,CLE,4,18,32.5,.588,.182,.364,0.0,7.2,3.5,46.5,12.6,0.0,19.0,42.0,,0.0,0.1,0.1,.206,,2.0,12.4,14.3,0.1
benneto01CHH,Tony Bennett,1995,PG,25,CHH,3,46,5.2,.538,.692,.000,0.0,4.9,2.6,13.6,0.0,0.0,18.8,16.1,,0.0,0.0,0.0,-0.006,,-5.1,-1.9,-7.0,-0.1
benoida01UTA,David Benoit,1995,SF,26,UTA,71,1841,13.9,.564,.196,.267,6.9,17.6,12.5,4.7,1.3,2.1,10.3,18.0,,2.3,2.4,4.6,.121,,-0.1,-0.3,-0.4,0.8
blackja01TOT,James Blackwell,1995,PG,26,TOT,13,80,11.6,.628,.000,.231,2.8,13.0,8.0,20.0,2.6,0.0,25.9,10.6,,0.1,0.1,0.2,.091,,-1.8,2.5,0.7,0.1
blackja01CHH,James Blackwell,1995,PG,26,CHH,4,19,14.2,.667,.000,.000,0.0,17.9,9.3,39.6,2.8,0.0,40.0,12.2,,0.0,0.0,0.0,.104,,-1.6,2.9,1.3,0.0
blackja01BOS,James Blackwell,1995,PG,26,BOS,9,61,10.8,.618,.000,.300,3.7,11.5,7.6,14.0,2.5,0.0,20.9,10.2,,0.1,0.0,0.1,.087,,-1.9,2.4,0.5,0.0
blaylmo01ATL,Mookie Blaylock,1995,PG,27,ATL,80,3069,19.2,.531,.463,.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,,4.6,4.8,9.4,.147,,3.5,1.5,5.1,5.4
blounco01CHI,Corie Blount,1995,PF,26,CHI,68,889,11.7,.497,.010,.319,14.2,17.6,15.9,9.8,1.5,2.8,19.8,14.9,,0.3,1.5,1.7,.094,,-3.0,0.6,-2.4,-0.1
boguemu01CHH,Muggsy Bogues,1995,PG,30,CHH,78,2629,16.9,.533,.041,.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,,5.8,2.8,8.6,.157,,1.2,0.3,1.5,2.3
bolma01GSW,Manute Bol,1995,C,32,GSW,5,81,9.5,.750,.500,.000,1.4,15.2,8.2,0.0,0.0,7.6,9.1,5.7,,0.1,0.1,0.1,.083,,-1.4,2.4,0.9,0.1
bondwa01TOT,Walter Bond,1995,SG,25,TOT,23,290,10.3,.577,.488,.238,3.6,9.8,6.8,12.1,1.1,1.1,15.5,17.1,,0.2,0.2,0.4,.072,,-1.0,-0.4,-1.5,0.0
bondwa01DET,Walter Bond,1995,SG,25,DET,5,51,3.0,.363,.333,.333,2.3,9.2,5.7,19.2,1.0,0.0,17.9,14.7,,-0.1,0.0,-0.1,-0.063,,-6.9,-1.4,-8.2,-0.1
bondwa01UTA,Walter Bond,1995,SG,25,UTA,18,239,11.8,.614,.514,.222,3.9,9.9,7.1,10.6,1.1,1.4,15.0,17.7,,0.3,0.2,0.5,.101,,0.2,-0.2,0.0,0.1
bonnean01NYK,Anthony Bonner,1995,PF,26,NYK,58,1126,9.4,.497,.026,.347,12.2,15.0,13.7,10.5,2.2,1.5,26.2,12.3,,-0.2,2.0,1.8,.079,,-3.5,2.0,-1.6,0.1
