,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
rodmade01CHI,Dennis Rodman*,1998,PF,36,CHI,80,2856,12.4,.459,.064,.308,16.8,31.4,24.1,11.2,0.9,0.5,26.4,8.7,,1.9,5.9,7.8,.131,,-0.7,0.5,-0.2,1.3
rogerca01TOT,Carlos Rogers,1998,PF,26,TOT,21,376,12.7,.533,.022,.352,10.1,9.9,10.0,7.7,1.4,1.5,11.8,13.9,,0.5,0.0,0.5,.064,,-1.0,-1.7,-2.7,-0.1
rogerca01TOR,Carlos Rogers,1998,PF,26,TOR,18,351,13.1,.534,.011,.368,10.5,10.3,10.4,7.4,1.3,1.6,11.4,14.3,,0.5,0.0,0.5,.064,,-0.9,-1.7,-2.6,-0.1
rogerca01POR,Carlos Rogers,1998,PF,26,POR,3,25,8.1,.500,.250,.000,4.8,4.5,4.7,12.4,2.1,0.0,20.0,9.1,,0.0,0.0,0.0,.057,,-2.0,-1.1,-3.1,0.0
rogerro01LAC,Rodney Rogers,1998,SF,26,LAC,76,2499,15.8,.532,.227,.351,7.0,12.4,9.7,14.2,1.9,1.0,15.2,22.6,,2.6,0.7,3.3,.063,,0.6,-1.5,-0.9,0.7
rogerro02TOT,Roy Rogers,1998,PF,24,TOT,15,106,5.4,.362,.000,.240,8.1,10.5,9.1,2.8,1.5,5.6,15.3,13.4,,-0.2,0.1,-0.1,-0.047,,-6.5,-2.3,-8.8,-0.2
rogerro02BOS,Roy Rogers,1998,PF,24,BOS,9,37,8.2,.394,.000,.250,0.0,17.4,8.0,4.0,2.8,8.5,10.1,11.5,,0.0,0.1,0.0,.036,,-5.2,3.4,-1.8,0.0
rogerro02TOR,Roy Rogers,1998,PF,24,TOR,6,69,3.9,.346,.000,.235,12.5,6.8,9.7,2.2,0.8,4.0,17.6,14.5,,-0.1,0.0,-0.1,-0.091,,-7.2,-5.4,-12.6,-0.2
rooksse01LAL,Sean Rooks,1998,C,28,LAL,41,425,13.4,.512,.000,.782,12.6,18.7,15.7,8.2,0.2,3.7,12.3,16.0,,0.7,0.5,1.1,.130,,-2.3,-0.7,-3.0,-0.1
roseja01IND,Jalen Rose,1998,SF,25,IND,82,1706,14.1,.545,.120,.376,2.1,11.2,6.9,16.0,1.8,0.6,15.7,23.4,,1.1,2.2,3.3,.092,,-0.9,0.4,-0.6,0.6
rosema01SAS,Malik Rose,1998,PF,23,SAS,53,429,10.1,.485,.022,.449,11.5,12.6,12.1,7.5,2.7,1.2,21.3,22.6,,-0.4,0.8,0.4,.044,,-5.3,0.6,-4.8,-0.3
royaldo01TOT,Donald Royal,1998,SF,31,TOT,31,323,8.3,.473,.000,.478,6.8,8.5,7.6,7.9,1.2,0.2,10.7,13.4,,0.3,0.2,0.4,.065,,-2.9,-1.1,-4.0,-0.2
royaldo01ORL,Donald Royal,1998,SF,31,ORL,2,18,-1.6,.322,.000,.667,12.8,13.4,13.1,8.6,3.1,0.0,27.9,27.4,,-0.1,0.0,-0.1,-0.199,,-13.6,-2.0,-15.6,-0.1
royaldo01CHH,Donald Royal,1998,SF,31,CHH,29,305,8.9,.488,.000,.460,6.4,8.2,7.3,7.8,1.1,0.2,8.5,12.6,,0.4,0.1,0.5,.080,,-2.3,-1.1,-3.3,-0.1
roziecl01MIN,Clifford Rozier,1998,C,25,MIN,6,30,-1.7,.466,.000,.167,11.5,11.2,11.4,0.0,0.0,0.0,38.3,15.5,,-0.1,0.0,-0.1,-0.140,,-11.7,-3.9,-15.5,-0.1
russebr01UTA,Bryon Russell,1998,SF,27,UTA,82,2219,12.9,.570,.408,.530,4.7,13.0,9.1,7.0,2.2,1.0,11.1,15.2,,3.8,2.2,6.0,.130,,0.3,0.4,0.8,1.6
sabonar01POR,Arvydas Sabonis*,1998,C,33,POR,73,2333,20.9,.581,.139,.490,7.7,27.9,18.2,16.9,1.5,2.5,15.9,23.2,,5.1,4.6,9.7,.200,,2.2,2.2,4.4,3.8
salvake01SAC,Kevin Salvadori,1998,C,27,SAC,16,87,2.1,.160,.000,.462,6.3,19.7,12.8,4.7,0.0,8.6,24.2,10.5,,-0.3,0.1,-0.2,-0.099,,-9.3,1.0,-8.3,-0.1
schayda01ORL,Danny Schayes,1998,C,38,ORL,74,1272,10.9,.479,.000,.321,8.8,13.7,11.2,6.0,1.5,1.9,12.6,17.5,,0.6,1.4,2.0,.076,,-3.6,0.3,-3.3,-0.4
schrede01SEA,Detlef Schrempf,1998,SF,35,SEA,78,2742,18.7,.585,.164,.392,6.0,17.9,12.1,20.3,1.2,0.5,13.8,20.6,,7.5,2.9,10.4,.182,,3.0,-0.1,2.9,3.4
scottde01TOT,Dennis Scott,1998,SF,29,TOT,81,2290,12.1,.502,.413,.157,2.3,9.9,6.1,11.3,1.2,1.2,10.5,19.7,,1.1,1.3,2.4,.050,,-0.1,-1.0,-1.1,0.5
scottde01DAL,Dennis Scott,1998,SF,29,DAL,52,1797,12.2,.492,.410,.177,2.4,10.0,6.1,12.4,1.3,1.2,11.4,20.6,,0.5,0.8,1.3,.036,,-0.2,-1.1,-1.3,0.3
scottde01PHO,Dennis Scott,1998,SF,29,PHO,29,493,11.9,.541,.426,.074,1.9,9.7,5.9,7.6,1.1,1.0,6.7,16.5,,0.6,0.5,1.0,.101,,0.1,-0.7,-0.6,0.2
scottsh01CLE,Shawnelle Scott,1998,C,25,CLE,41,188,10.6,.501,.000,.500,13.3,25.1,19.3,6.8,1.7,3.2,18.5,13.2,,0.1,0.4,0.5,.132,,-4.5,2.0,-2.5,0.0
sealssh01LAL,Shea Seals,1998,SG,22,LAL,4,9,4.9,.205,.375,.500,38.7,12.3,25.1,0.0,5.7,0.0,0.0,47.8,,-0.1,0.0,-0.1,-0.270,,-10.2,-7.2,-17.5,0.0
sealyma01DET,Malik Sealy,1998,SF,27,DET,77,1641,12.8,.505,.081,.360,3.5,12.5,7.9,10.4,2.2,0.9,11.9,18.8,,1.2,2.0,3.2,.093,,-1.5,0.9,-0.6,0.6
seikaro01TOT,Rony Seikaly,1998,C,32,TOT,56,1636,15.0,.514,.003,.573,10.2,18.2,14.1,8.5,0.9,1.9,16.8,24.3,,0.9,1.9,2.7,.080,,-1.0,-0.9,-1.9,0.1
seikaro01ORL,Rony Seikaly,1998,C,32,ORL,47,1484,15.8,.524,.004,.567,10.1,18.4,14.2,8.6,0.9,1.9,16.6,24.9,,1.0,1.7,2.8,.090,,-0.6,-0.9,-1.5,0.2
seikaro01NJN,Rony Seikaly,1998,C,32,NJN,9,152,6.8,.397,.000,.659,11.4,16.3,13.7,7.7,1.0,1.9,18.5,18.6,,-0.2,0.1,-0.1,-0.019,,-5.4,-0.7,-6.1,-0.2
shammgo01WAS,God Shammgod,1998,PG,21,WAS,20,146,9.2,.428,.034,.517,1.5,4.0,2.7,38.1,2.5,0.5,22.8,28.1,,-0.3,0.1,-0.1,-0.049,,-4.5,-1.8,-6.2,-0.2
shawbr01TOT,Brian Shaw,1998,PG,31,TOT,59,1530,9.1,.397,.213,.117,2.6,13.0,7.7,27.7,1.7,0.8,17.4,16.3,,-1.2,1.3,0.1,.002,,-3.6,0.3,-3.3,-0.5
shawbr01GSW,Brian Shaw,1998,PG,31,GSW,39,1028,8.7,.390,.218,.107,2.0,14.0,7.8,27.3,1.8,0.9,18.9,16.8,,-1.3,1.0,-0.3,-0.014,,-4.1,0.5,-3.7,-0.4
shawbr01PHI,Brian Shaw,1998,PG,31,PHI,20,502,10.0,.411,.201,.137,3.9,10.9,7.3,28.4,1.5,0.4,14.0,15.3,,0.0,0.3,0.4,.035,,-2.4,-0.1,-2.5,-0.1
simpkdi01TOT,Dickey Simpkins,1998,PF,25,TOT,40,433,10.6,.551,.022,.787,6.7,13.0,9.8,12.0,1.1,0.8,21.1,15.5,,0.1,0.5,0.6,.068,,-3.1,0.1,-3.0,-0.1
simpkdi01GSW,Dickey Simpkins,1998,PF,25,GSW,19,196,9.0,.454,.021,.542,10.1,15.1,12.5,13.5,1.3,0.7,24.2,17.5,,-0.3,0.2,-0.1,-0.027,,-3.9,-0.6,-4.5,-0.1
simpkdi01CHI,Dickey Simpkins,1998,PF,25,CHI,21,237,11.9,.646,.024,1.073,3.8,11.2,7.5,10.8,0.9,0.9,17.7,13.9,,0.4,0.3,0.7,.146,,-2.5,0.7,-1.8,0.0
slatere01TOR,Reggie Slater,1998,PF,27,TOR,78,1662,12.4,.520,.000,.702,8.7,12.0,10.3,7.2,1.4,1.2,14.5,18.5,,1.3,0.1,1.5,.042,,-2.2,-2.5,-4.6,-1.1
smithch04TOT,Charles Smith,1998,SG,22,TOT,34,292,9.8,.458,.376,.088,5.2,5.5,5.3,12.6,2.2,1.4,17.2,24.0,,-0.4,0.0,-0.3,-0.057,,-2.6,-2.5,-5.1,-0.2
smithch04MIA,Charles Smith,1998,SG,22,MIA,11,32,-0.5,.265,.167,.111,18.9,10.7,14.7,10.5,3.4,2.3,24.1,36.3,,-0.3,0.1,-0.2,-0.323,,-11.5,-4.7,-16.2,-0.1
smithch04LAC,Charles Smith,1998,SG,22,LAC,23,260,11.1,.491,.411,.084,3.5,4.9,4.2,12.9,2.0,1.3,15.9,22.5,,-0.1,0.0,-0.1,-0.024,,-1.5,-2.2,-3.7,-0.1
smithjo02TOT,Joe Smith,1998,PF,22,TOT,79,2344,14.4,.482,.007,.274,9.1,12.9,11.0,7.7,1.4,1.5,11.6,25.4,,0.6,2.0,2.6,.052,,-1.2,-1.2,-2.4,-0.3
smithjo02GSW,Joe Smith,1998,PF,22,GSW,49,1645,15.1,.474,.009,.260,8.9,13.2,11.0,8.0,1.4,1.6,10.6,26.4,,0.4,1.4,1.8,.053,,-0.8,-1.1,-2.0,0.0
smithjo02PHI,Joe Smith,1998,PF,22,PHI,30,699,12.9,.503,.004,.315,9.5,12.4,10.9,7.1,1.4,1.4,14.5,23.1,,0.2,0.5,0.8,.052,,-2.2,-1.3,-3.5,-0.3
smithmi02TOT,Michael Smith,1998,PF,25,TOT,48,1053,14.3,.524,.005,.531,12.9,20.2,16.5,12.5,2.0,1.0,17.6,12.3,,1.3,0.8,2.1,.096,,-0.2,-0.1,-0.3,0.4
smithmi02SAC,Michael Smith,1998,PF,25,SAC,18,347,12.9,.465,.000,.492,11.0,21.4,16.0,12.4,2.3,1.8,16.8,11.4,,0.2,0.5,0.7,.092,,-1.7,1.5,-0.3,0.2
smithmi02VAN,Michael Smith,1998,PF,25,VAN,30,706,15.0,.551,.008,.549,13.9,19.7,16.8,12.6,1.9,0.6,17.9,12.7,,1.1,0.3,1.4,.099,,0.6,-0.9,-0.3,0.3
smithst01ATL,Steve Smith,1998,SG,28,ATL,73,2857,18.8,.563,.251,.413,5.7,7.0,6.4,18.4,1.4,0.7,11.9,23.9,,8.4,1.8,10.2,.171,,3.9,-0.9,3.0,3.6
smithto02MIL,Tony Smith,1998,PG,29,MIL,7,80,6.4,.369,.167,.167,6.0,4.6,5.3,19.8,3.3,1.8,25.9,19.8,,-0.2,0.1,-0.1,-0.088,,-4.3,1.0,-3.3,0.0
smitsri01IND,Rik Smits,1998,C,31,IND,73,2085,19.9,.532,.003,.231,7.7,20.8,14.6,9.9,1.0,3.0,10.5,29.2,,2.5,3.6,6.1,.141,,0.6,0.3,0.9,1.6
snower01TOT,Eric Snow,1998,PG,24,TOT,64,918,11.7,.486,.092,.386,2.4,7.8,5.1,30.3,3.5,0.4,22.6,13.7,,0.3,1.0,1.3,.067,,-2.8,1.6,-1.2,0.2
snower01SEA,Eric Snow,1998,PG,24,SEA,17,74,2.2,.456,.043,.435,0.0,6.3,3.2,27.6,0.0,1.0,30.5,24.7,,-0.2,0.0,-0.2,-0.132,,-9.0,-4.1,-13.0,-0.2
snower01PHI,Eric Snow,1998,PG,24,PHI,47,844,12.5,.490,.099,.379,2.6,8.0,5.2,30.5,3.8,0.4,21.4,12.7,,0.6,0.9,1.5,.085,,-2.3,2.1,-0.2,0.4
spencfe01GSW,Felton Spencer,1998,C,30,GSW,68,813,8.5,.495,.000,.612,11.9,18.0,14.8,3.2,1.5,3.1,23.0,11.4,,-0.2,1.0,0.9,.052,,-6.5,0.7,-5.9,-0.8
sprewla01GSW,Latrell Sprewell,1998,SG,27,GSW,14,547,15.1,.470,.173,.339,1.3,8.8,5.0,24.1,1.8,0.6,12.1,28.9,,0.0,0.4,0.4,.033,,0.5,-0.5,0.0,0.3
stackje01TOT,Jerry Stackhouse,1998,SG-SF,23,TOT,79,2545,16.2,.532,.200,.462,4.8,7.5,6.2,17.2,1.9,1.7,16.0,25.3,,2.4,2.3,4.7,.089,,1.2,-0.6,0.5,1.6
stackje01PHI,Jerry Stackhouse,1998,SF,23,PHI,22,748,14.9,.539,.163,.357,4.3,7.4,5.8,16.4,2.2,2.1,18.4,24.1,,0.3,0.6,0.9,.056,,0.2,-0.5,-0.3,0.3
stackje01DET,Jerry Stackhouse,1998,SG,23,DET,57,1797,16.8,.530,.215,.504,5.1,7.5,6.3,17.5,1.8,1.6,15.1,25.8,,2.2,1.7,3.8,.103,,1.6,-0.7,0.9,1.3
starkjo01NYK,John Starks,1998,SG,32,NYK,82,2188,14.3,.504,.420,.248,2.6,10.0,6.3,18.1,1.9,0.2,12.0,25.6,,1.5,3.1,4.6,.101,,0.4,0.3,0.7,1.5
stephjo01HOU,Joe Stephens,1998,SF,25,HOU,7,37,17.7,.441,.357,.214,9.7,9.5,9.6,5.7,2.9,0.0,6.1,40.0,,0.0,0.0,0.0,-0.010,,3.4,-3.7,-0.2,0.0
stewake01PHI,Kebu Stewart,1998,PF,24,PHI,15,110,14.0,.541,.000,.962,9.3,23.2,16.2,3.0,2.4,1.3,17.8,18.4,,0.1,0.2,0.2,.098,,-1.6,0.1,-1.4,0.0
stewami01SAC,Michael Stewart,1998,C,22,SAC,81,1761,12.9,.486,.000,.440,12.2,21.9,16.9,5.2,0.9,7.5,18.1,11.9,,0.4,2.6,3.0,.081,,-3.3,1.9,-1.4,0.3
stithbr01DEN,Bryant Stith,1998,SG,27,DEN,31,718,9.2,.447,.213,.382,2.4,8.4,5.3,12.1,1.6,0.8,11.8,18.9,,-0.2,-0.1,-0.3,-0.018,,-2.8,-1.6,-4.4,-0.4
stockjo01UTA,John Stockton*,1998,PG,35,UTA,64,1858,21.8,.628,.178,.452,2.5,8.2,5.6,47.8,2.6,0.4,20.8,19.3,,6.4,1.6,8.0,.206,,5.5,0.2,5.6,3.6
stokeed01TOR,Ed Stokes,1998,C,26,TOR,4,17,6.4,.387,.000,.667,6.3,20.6,13.2,8.6,3.0,8.1,34.0,15.2,,-0.1,0.0,0.0,-0.077,,-9.8,2.2,-7.6,0.0
stoudda01TOT,Damon Stoudamire,1998,PG,24,TOT,71,2839,16.8,.503,.279,.263,3.4,8.6,5.9,35.1,2.1,0.2,15.5,22.4,,3.9,0.8,4.7,.079,,2.0,-1.9,0.1,1.5
stoudda01TOR,Damon Stoudamire,1998,PG,24,TOR,49,2033,17.7,.514,.246,.255,3.3,8.8,6.0,34.4,2.0,0.2,14.7,23.4,,3.2,-0.1,3.2,.074,,2.4,-2.3,0.1,1.1
stoudda01POR,Damon Stoudamire,1998,PG,24,POR,22,806,14.5,.469,.384,.291,3.6,7.9,5.8,36.8,2.2,0.2,18.0,19.9,,0.7,0.9,1.5,.091,,1.0,-0.7,0.3,0.5
stricer01DAL,Erick Strickland,1998,SG,24,DAL,67,1505,9.3,.429,.292,.151,2.5,9.5,6.0,18.8,2.0,0.4,15.1,21.3,,-1.7,0.8,-0.9,-0.028,,-3.8,-1.2,-5.0,-1.1
stricma01MIA,Mark Strickland,1998,PF,27,MIA,51,847,17.4,.572,.004,.305,11.4,17.8,14.7,5.6,1.2,2.9,13.3,19.4,,1.5,1.3,2.8,.157,,0.1,0.2,0.2,0.5
stricro02WAS,Rod Strickland,1998,PG,31,WAS,76,3020,19.6,.501,.042,.435,4.1,11.4,7.6,43.1,2.2,0.6,16.5,23.7,,5.1,3.0,8.1,.129,,2.8,0.1,2.9,3.7
stronde01ORL,Derek Strong,1998,PF,29,ORL,58,1638,16.6,.497,.006,.452,10.7,20.2,15.3,5.8,1.0,1.1,9.1,22.8,,2.5,2.0,4.4,.130,,0.1,-1.2,-1.1,0.4
surabo01CLE,Bob Sura,1998,SG,24,CLE,46,942,9.6,.463,.260,.567,3.3,8.9,6.1,29.4,2.5,0.6,24.4,18.7,,-0.7,1.4,0.7,.036,,-2.9,1.0,-1.9,0.0
tabakza01TOT,Žan Tabak,1998,C,27,TOT,57,984,9.7,.464,.003,.201,9.2,15.6,12.2,8.1,1.1,2.8,15.6,17.4,,-0.4,0.4,0.0,-0.001,,-4.6,-1.3,-6.0,-1.0
tabakza01TOR,Žan Tabak,1998,C,27,TOR,39,752,9.9,.459,.004,.193,8.5,14.7,11.5,8.1,1.0,2.5,14.0,18.3,,-0.4,0.1,-0.2,-0.013,,-4.5,-1.8,-6.3,-0.8
tabakza01BOS,Žan Tabak,1998,C,27,BOS,18,232,9.2,.486,.000,.236,11.7,18.3,14.7,7.9,1.1,3.7,21.9,14.5,,-0.1,0.2,0.2,.036,,-5.1,0.3,-4.7,-0.2
taylojo01ORL,Johnny Taylor,1998,SF,23,ORL,12,108,4.4,.431,.054,.432,4.3,10.0,7.1,1.6,1.5,1.3,15.4,22.1,,-0.2,0.1,-0.1,-0.032,,-8.0,-1.6,-9.6,-0.2
tayloma01LAC,Maurice Taylor,1998,PF,21,LAC,71,1513,16.1,.521,.001,.361,8.8,13.5,11.1,6.6,1.2,1.8,12.0,26.1,,1.5,0.3,1.8,.057,,-1.5,-2.4,-3.8,-0.7
thomaca01TOT,Carl Thomas,1998,SG,28,TOT,43,426,10.9,.490,.421,.179,2.7,10.4,6.6,7.9,2.6,1.2,10.7,17.9,,0.1,0.6,0.7,.074,,-1.6,1.2,-0.3,0.2
thomaca01GSW,Carl Thomas,1998,SG,28,GSW,10,139,11.0,.447,.323,.154,3.0,4.7,3.8,12.0,1.9,0.5,8.0,23.7,,0.0,0.1,0.1,.019,,-1.9,-0.7,-2.6,0.0
thomaca01ORL,Carl Thomas,1998,SG,28,ORL,4,15,27.8,.765,.000,.400,0.0,0.0,0.0,15.4,0.0,4.8,0.0,18.0,,0.1,0.0,0.1,.271,,10.9,2.5,13.4,0.1
thomaca01CLE,Carl Thomas,1998,SG,28,CLE,29,272,10.0,.508,.543,.186,2.7,13.8,8.3,5.4,3.1,1.4,13.7,14.9,,0.0,0.5,0.5,.092,,-2.1,2.2,0.1,0.1
thomajo02TOT,John Thomas,1998,PF,22,TOT,54,535,9.1,.552,.000,.478,9.7,13.5,11.5,4.9,2.1,1.7,25.2,14.8,,0.0,0.4,0.4,.034,,-4.7,-0.5,-5.2,-0.4
thomajo02BOS,John Thomas,1998,PF,22,BOS,33,368,10.2,.571,.000,.413,9.4,13.3,11.2,5.4,2.7,1.9,25.9,15.0,,0.0,0.4,0.4,.054,,-4.1,0.6,-3.5,-0.1
thomajo02TOR,John Thomas,1998,PF,22,TOR,21,167,6.8,.509,.000,.636,10.3,14.0,12.1,3.6,0.9,1.2,23.5,14.5,,0.0,0.0,0.0,-0.009,,-6.0,-3.0,-9.1,-0.3
thomaku01DAL,Kurt Thomas,1998,PF,25,DAL,5,73,6.4,.399,.000,.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,,-0.3,0.1,-0.2,-0.161,,-11.5,-5.3,-16.8,-0.3
thomati01PHI,Tim Thomas,1998,SF,20,PHI,77,1779,14.9,.538,.250,.338,6.9,11.8,9.3,9.3,1.6,0.7,13.1,22.8,,2.1,1.3,3.4,.091,,0.7,-1.2,-0.5,0.7
thompbr01TOT,Brooks Thompson,1998,PG,27,TOT,30,167,11.2,.496,.536,.143,0.7,10.0,5.3,26.5,3.2,0.5,21.2,20.9,,-0.1,0.3,0.2,.051,,-3.2,1.3,-1.9,0.0
thompbr01PHO,Brooks Thompson,1998,PG,27,PHO,13,46,11.4,.459,.593,.111,2.6,9.9,6.3,11.5,4.6,0.0,15.0,32.8,,-0.1,0.1,0.0,-0.034,,-4.0,0.8,-3.2,0.0
thompbr01NYK,Brooks Thompson,1998,PG,27,NYK,17,121,11.2,.529,.483,.172,0.0,10.0,5.0,32.3,2.7,0.6,26.1,16.4,,0.0,0.2,0.2,.084,,-2.9,1.5,-1.4,0.0
thorpot01TOT,Otis Thorpe,1998,PF,35,TOT,74,2197,13.4,.515,.008,.385,7.8,20.1,13.9,16.3,1.1,0.9,17.2,17.8,,1.4,1.1,2.5,.055,,-1.3,-0.7,-2.1,0.0
thorpot01VAN,Otis Thorpe,1998,PF,35,VAN,47,1574,13.0,.523,.009,.395,7.3,19.7,13.6,16.3,1.0,1.0,18.6,17.5,,0.9,0.4,1.4,.041,,-1.4,-1.0,-2.4,-0.2
thorpot01SAC,Otis Thorpe,1998,PF,35,SAC,27,623,14.4,.498,.005,.361,8.9,21.0,14.8,16.1,1.5,0.8,14.1,18.7,,0.5,0.7,1.1,.088,,-1.3,0.1,-1.2,0.1
trentga01TOT,Gary Trent,1998,PF,23,TOT,54,1360,16.2,.527,.024,.420,10.5,17.9,14.3,9.6,1.4,1.4,13.6,22.8,,1.6,1.6,3.1,.110,,-0.2,-0.6,-0.8,0.4
trentga01POR,Gary Trent,1998,PF,23,POR,41,1005,16.7,.547,.025,.454,9.6,17.2,13.5,10.5,1.4,1.4,14.3,22.6,,1.4,1.4,2.8,.135,,0.3,0.5,0.8,0.7
trentga01TOR,Gary Trent,1998,PF,23,TOR,13,355,14.9,.474,.021,.336,13.1,20.0,16.4,7.0,1.2,1.6,11.6,23.4,,0.1,0.1,0.3,.039,,-1.6,-3.5,-5.2,-0.3
vanexni01LAL,Nick Van Exel,1998,PG,26,LAL,64,2053,17.8,.538,.425,.231,1.8,8.8,5.3,33.5,1.6,0.2,11.3,19.8,,5.6,1.5,7.1,.166,,3.7,-1.0,2.7,2.4
vanhoke01NJN,Keith Van Horn,1998,PF,22,NJN,62,2325,15.7,.516,.214,.291,6.6,14.1,10.1,7.9,1.5,0.8,12.2,25.2,,3.2,1.6,4.8,.098,,0.7,-1.6,-0.8,0.7
vaughda02TOT,David Vaughn,1998,PF,24,TOT,40,489,11.4,.480,.007,.318,11.4,23.1,17.0,7.0,1.6,1.4,19.2,18.6,,-0.2,0.6,0.4,.040,,-4.2,-0.5,-4.8,-0.4
vaughda02GSW,David Vaughn,1998,PF,24,GSW,22,322,10.8,.442,.009,.298,11.0,23.2,16.9,9.7,1.6,1.3,19.4,21.7,,-0.5,0.4,0.0,-0.002,,-4.9,-0.6,-5.5,-0.3
vaughda02CHI,David Vaughn,1998,PF,24,CHI,3,6,23.3,.725,.000,4.000,0.0,19.2,9.5,0.0,0.0,0.0,0.0,20.6,,0.0,0.0,0.0,.315,,3.8,1.9,5.7,0.0
vaughda02NJN,David Vaughn,1998,PF,24,NJN,15,161,12.1,.595,.000,.273,12.8,23.0,17.6,1.9,1.6,1.8,19.6,12.4,,0.2,0.2,0.4,.114,,-3.3,-0.5,-3.8,-0.1
vaughja01UTA,Jacque Vaughn,1998,PG,22,UTA,45,419,6.9,.457,.066,.557,1.3,9.5,5.6,30.8,1.2,0.2,26.9,23.0,,-0.6,0.2,-0.4,-0.048,,-5.1,-2.4,-7.6,-0.6
vaughlo01LAC,Loy Vaught,1998,PF,29,LAC,10,265,7.8,.428,.024,.095,6.8,21.2,14.0,4.4,0.8,0.5,12.9,16.8,,-0.2,0.1,-0.2,-0.029,,-4.5,-2.6,-7.1,-0.3
vrankst01LAC,Stojko Vranković,1998,C,34,LAC,65,996,9.4,.454,.000,.349,8.0,22.1,15.0,5.5,0.6,4.4,17.7,11.6,,-0.2,0.6,0.4,.020,,-3.9,0.0,-3.9,-0.5
walkean02BOS,Antoine Walker,1998,PF,21,BOS,82,3268,17.8,.481,.171,.277,9.0,22.3,15.1,15.4,2.2,1.4,13.2,29.2,,0.8,4.0,4.7,.070,,1.6,-1.0,0.6,2.2
walkesa01DAL,Samaki Walker,1998,PF,21,DAL,41,1027,14.4,.502,.003,.302,10.2,22.8,16.4,4.1,1.6,2.7,14.4,18.9,,0.1,1.3,1.4,.067,,-2.8,-0.6,-3.4,-0.4
wallabe01WAS,Ben Wallace,1998,C,23,WAS,67,1124,13.4,.495,.000,.598,11.0,22.2,16.4,2.3,2.8,4.6,11.9,9.3,,0.8,2.2,2.9,.125,,-1.6,2.3,0.7,0.8
wallajo01TOR,John Wallace,1998,SF,23,TOR,82,2361,14.8,.518,.002,.299,5.3,12.6,8.9,8.5,1.4,2.9,13.4,23.8,,1.1,0.5,1.5,.031,,-1.1,-1.9,-3.0,-0.6
wallara01POR,Rasheed Wallace,1998,PF,23,POR,77,2896,14.9,.564,.045,.318,5.5,13.4,9.6,11.9,1.4,2.2,14.3,18.2,,3.8,3.8,7.6,.125,,0.1,1.1,1.2,2.4
waltere01TOT,Rex Walters,1998,SG,27,TOT,38,235,11.8,.612,.415,.528,2.5,9.2,5.9,24.1,1.8,0.3,29.2,17.9,,0.2,0.2,0.4,.073,,-1.6,0.0,-1.6,0.0
waltere01PHI,Rex Walters,1998,SG,27,PHI,19,127,9.7,.576,.483,.586,2.7,5.5,4.1,26.2,2.1,0.0,31.8,18.9,,0.0,0.1,0.1,.022,,-2.7,-0.9,-3.6,-0.1
waltere01MIA,Rex Walters,1998,SG,27,MIA,19,108,14.2,.659,.333,.458,2.2,13.7,8.1,21.6,1.5,0.7,25.7,16.8,,0.2,0.1,0.3,.134,,-0.4,1.1,0.7,0.1
wardch01NYK,Charlie Ward,1998,PG,27,NYK,82,2317,15.6,.567,.417,.219,1.7,12.6,7.1,32.4,3.4,1.2,23.6,15.0,,2.6,4.5,7.1,.148,,0.7,3.4,4.1,3.6
washier01DEN,Eric Washington,1998,SG,23,DEN,66,1539,9.6,.478,.275,.167,3.5,6.3,4.9,9.3,1.8,1.2,11.9,17.9,,-0.1,-0.2,-0.3,-0.008,,-2.3,-1.7,-4.1,-0.8
weathcl01TOT,Clarence Weatherspoon,1998,PF,27,TOT,79,2325,14.0,.504,.000,.456,9.3,19.3,14.2,6.4,1.9,2.3,14.0,16.2,,1.5,3.0,4.5,.093,,-1.2,0.3,-0.8,0.7
weathcl01PHI,Clarence Weatherspoon,1998,PF,27,PHI,48,1290,13.7,.497,.000,.526,9.6,20.4,15.0,5.1,1.8,3.0,14.5,16.6,,0.7,1.7,2.3,.087,,-1.4,-0.2,-1.6,0.1
weathcl01GSW,Clarence Weatherspoon,1998,PF,27,GSW,31,1035,14.4,.513,.000,.372,8.9,18.0,13.3,8.0,2.1,1.5,13.4,15.7,,0.9,1.3,2.2,.101,,-0.9,1.0,0.1,0.6
webbsp01ORL,Spud Webb,1998,PG,34,ORL,4,34,3.2,.466,.083,.167,6.8,3.5,5.2,26.7,1.6,0.0,35.2,26.8,,-0.1,0.0,-0.1,-0.161,,-9.1,-2.4,-11.4,-0.1
webbech01WAS,Chris Webber,1998,C,24,WAS,71,2809,20.9,.523,.153,.248,6.9,20.8,13.7,17.8,2.1,3.1,11.1,26.5,,3.9,4.4,8.3,.142,,2.9,1.7,4.6,4.7
wellsbu01DAL,Bubba Wells,1998,SG,23,DAL,39,395,11.1,.474,.052,.371,6.1,13.2,9.6,14.3,2.0,0.7,18.7,19.2,,-0.2,0.3,0.1,.013,,-3.1,-0.5,-3.5,-0.2
