,country_id,Country,latitude,longitude
162,161,Nigeria,10.0,8.0
163,162,Niue,-19.03333333,-169.86666666
164,163,Norfolk Island,-29.03333333,167.95
165,164,Northern Mariana Islands,15.2,145.75
166,165,Norway,62.0,10.0
167,166,Oman,21.0,57.0
168,167,Pakistan,30.0,70.0
169,168,Palau,7.5,134.5
170,169,Palestinian Territory Occupied,31.9,35.2
171,170,Panama,9.0,-80.0
172,171,Papua new Guinea,-6.0,147.0
173,172,Paraguay,-23.0,-58.0
174,173,Peru,-10.0,-76.0
175,174,Philippines,13.0,122.0
176,175,Pitcairn Island,-25.06666666,-130.1
177,176,Poland,52.0,20.0
178,177,Portugal,39.5,-8.0
179,178,Puerto Rico,18.25,-66.5
180,179,Qatar,25.5,51.25
181,180,Reunion,-21.15,55.5
182,181,Romania,46.0,25.0
183,182,Russia,60.0,100.0
184,183,Rwanda,-2.0,30.0
185,184,Saint Helena,-15.95,-5.7
186,185,Saint Kitts And Nevis,17.33333333,-62.75
187,186,Saint Lucia,13.88333333,-60.96666666
188,187,Saint Pierre and Miquelon,46.83333333,-56.33333333
189,188,Saint Vincent And The Grenadines,13.25,-61.2
190,189,Saint-Barthelemy,18.5,-63.41666666
191,190,Saint-Martin (French part),18.08333333,-63.95
192,191,Samoa,-13.58333333,-172.33333333
193,192,San Marino,43.76666666,12.41666666
194,193,Sao Tome and Principe,1.0,7.0
195,194,Saudi Arabia,25.0,45.0
196,195,Senegal,14.0,-14.0
197,196,Serbia,44.0,21.0
198,197,Seychelles,-4.58333333,55.66666666
199,198,Sierra Leone,8.5,-11.5
200,199,Singapore,1.36666666,103.8
201,250,Sint Maarten (Dutch part),18.033333,-63.05
202,200,Slovakia,48.66666666,19.5
203,201,Slovenia,46.11666666,14.81666666
204,202,Solomon Islands,-8.0,159.0
205,203,Somalia,10.0,49.0
206,204,South Africa,-29.0,24.0
207,205,South Georgia,-54.5,-37.0
208,206,South Sudan,7.0,30.0
209,207,Spain,40.0,-4.0
210,208,Sri Lanka,7.0,81.0
211,209,Sudan,15.0,30.0
212,210,Suriname,4.0,-56.0
213,211,Svalbard And Jan Mayen Islands,78.0,20.0
214,212,Swaziland,-26.5,31.5
215,213,Sweden,62.0,15.0
216,214,Switzerland,47.0,8.0
217,215,Syria,35.0,38.0
218,216,Taiwan,23.5,121.0
219,217,Tajikistan,39.0,71.0
220,218,Tanzania,-6.0,35.0
221,219,Thailand,15.0,100.0
222,220,Togo,8.0,1.16666666
223,221,Tokelau,-9.0,-172.0
224,222,Tonga,-20.0,-175.0
225,223,Trinidad And Tobago,11.0,-61.0
226,224,Tunisia,34.0,9.0
227,225,Turkey,39.0,35.0
228,226,Turkmenistan,40.0,60.0
229,227,Turks And Caicos Islands,21.75,-71.58333333
230,228,Tuvalu,-8.0,178.0
231,229,Uganda,1.0,32.0
232,230,Ukraine,49.0,32.0
233,231,United Arab Emirates,24.0,54.0
234,232,United Kingdom,54.0,-2.0
235,233,United States,38.0,-97.0
236,234,United States Minor Outlying Islands,0.0,0.0
237,235,Uruguay,-33.0,-56.0
238,236,Uzbekistan,41.0,64.0
239,237,Vanuatu,-16.0,167.0
240,238,Vatican City State (Holy See),41.9,12.45
241,239,Venezuela,8.0,-66.0
242,240,Vietnam,16.16666666,107.83333333
243,241,Virgin Islands (British),18.431383,-64.62305
244,242,Virgin Islands (US),18.34,-64.93
245,243,Wallis And Futuna Islands,-13.3,-176.2
246,244,Western Sahara,24.5,-13.0
247,245,Yemen,15.0,48.0
248,246,Zambia,-15.0,30.0
249,247,Zimbabwe,-20.0,30.0
